Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.27308
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.51258
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.88294
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.57937
Sad,(-0.3/ 1.2/ -0.9), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.91301
Sad,(-0.3/ 1.2/ -0.8), (-0.6/ 1.1/ -0.7), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.02532
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.7), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.61571
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.7), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.12325
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.44279
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.7507
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.92934
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.03946
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.72295
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.3394
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.16023
Sad,(-0.3/ 1.1/ -0.9), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.84606
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.1/ -0.8), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.25958
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.1/ -0.7), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.01462
Sad,(-0.2/ 1.2/ -1.0), (-0.6/ 1.1/ -0.7), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.08266
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.96024
Sad,(-0.3/ 1.1/ -1.0), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.36968
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.99884
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.07068
