Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.4/ 0.1/ -0.8), (-0.2/ 0.1/ -0.4), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.39248
Sad,(-0.6/ 1.1/ -0.9), (-0.9/ 1.1/ -0.5), (-0.4/ 0.1/ -0.8), (-0.3/ 0.2/ -0.5), (-0.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.91029
Sad,(-0.6/ 1.1/ -1.0), (-0.9/ 1.1/ -0.6), (-0.4/ 0.1/ -0.8), (-0.3/ 0.1/ -0.7), (-0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.88063
Sad,(-0.7/ 1.1/ -0.9), (-0.7/ 1.1/ -0.4), (-0.5/ 0.1/ -0.9), (-0.3/ 0.1/ -0.7), (-0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.96821
Sad,(-0.8/ 1.1/ -0.8), (-0.6/ 1.1/ -0.4), (-0.6/ 0.1/ -0.7), (-0.3/ 0.1/ -0.7), (-0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.19781
Sad,(-0.7/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.6/ 0.1/ -0.7), (-0.3/ 0.1/ -0.7), (-0.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.56422
Sad,(-0.7/ 1.1/ -0.8), (-1.0/ 1.1/ -0.4), (-0.5/ 0.1/ -0.7), (-0.5/ 0.1/ -0.6), (-0.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.68754
Sad,(-0.6/ 1.1/ -0.9), (-1.1/ 1.0/ -0.6), (-0.5/ 0.1/ -0.7), (-0.6/ 0.1/ -0.7), (-0.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.0031
Sad,(-0.6/ 1.1/ -1.0), (-1.1/ 1.1/ -0.8), (-0.5/ 0.1/ -0.7), (-0.6/ 0.1/ -0.7), (-0.6/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.48064
Sad,(-0.7/ 1.1/ -1.1), (-1.0/ 1.1/ -0.8), (-0.6/ 0.1/ -0.9), (-0.6/ 0.1/ -0.7), (-0.6/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.19719
Sad,(-0.7/ 1.1/ -1.2), (-1.1/ 1.1/ -0.9), (-0.6/ 0.1/ -1.2), (-0.6/ 0.1/ -0.7), (-0.7/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.80962
Sad,(-0.8/ 1.1/ -1.3), (-1.2/ 1.0/ -1.0), (-0.6/ 0.1/ -1.2), (-0.5/ 0.1/ -1.0), (-0.8/ 1.4/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.16488
Sad,(-0.8/ 1.1/ -1.5), (-1.0/ 1.1/ -1.0), (-0.6/ 0.1/ -1.2), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.42967
Sad,(-0.8/ 1.1/ -1.4), (-0.8/ 1.1/ -1.0), (-0.6/ 0.1/ -1.2), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.40802
Sad,(-0.8/ 1.1/ -1.3), (-0.8/ 1.1/ -0.9), (-0.6/ 0.1/ -1.3), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.24626
Sad,(-0.8/ 1.1/ -1.3), (-0.9/ 1.1/ -0.8), (-0.6/ 0.1/ -1.3), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.5066
Sad,(-0.8/ 1.1/ -1.3), (-0.9/ 1.1/ -0.8), (-0.6/ 0.1/ -1.3), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.7592
Sad,(-0.8/ 1.1/ -1.3), (-0.9/ 1.1/ -0.9), (-0.6/ 0.1/ -1.3), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.54562
Sad,(-0.8/ 1.1/ -1.4), (-1.0/ 1.1/ -0.9), (-0.6/ 0.1/ -1.3), (-0.4/ 0.1/ -1.3), (-0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.61385
Sad,(-0.7/ 1.1/ -1.4), (-1.0/ 1.1/ -1.0), (-0.6/ 0.1/ -1.3), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.99265
