Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.1827
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3928
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.5628
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.1691
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3167
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3619
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.6476
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.5981
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.4), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.7377
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.4), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,224.0097
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.4), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.8613
Sad,(-2.9/ 1.1/ -2.8), (-2.6/ 1.1/ -2.2), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.9), (-2.6/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,219.1317
Sad,(-2.7/ 1.1/ -2.7), (-2.1/ 1.1/ -2.5), (-2.4/ 0.1/ -2.8), (-2.4/ 0.1/ -2.9), (-2.5/ 1.5/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,213.1477
Sad,(-2.4/ 1.1/ -2.6), (-1.9/ 1.1/ -2.9), (-2.2/ 0.1/ -3.0), (-2.4/ 0.1/ -2.9), (-2.3/ 1.5/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,210.9645
Sad,(-2.1/ 1.1/ -2.5), (-1.7/ 1.1/ -3.1), (-2.2/ 0.1/ -3.0), (-2.0/ 0.1/ -2.6), (-2.1/ 1.5/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,197.3666
Sad,(-1.9/ 1.1/ -2.2), (-1.5/ 1.1/ -2.8), (-2.1/ 0.2/ -2.9), (-1.8/ 0.1/ -2.5), (-1.9/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,177.8954
Sad,(-1.7/ 1.1/ -2.1), (-1.2/ 1.1/ -2.5), (-1.5/ 0.1/ -2.4), (-1.8/ 0.1/ -2.5), (-1.7/ 1.5/ -2.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.8203
Sad,(-1.6/ 1.1/ -2.0), (-0.9/ 1.1/ -2.2), (-1.5/ 0.1/ -2.4), (-1.6/ 0.1/ -2.3), (-1.5/ 1.5/ -2.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,138.8451
Sad,(-1.5/ 1.2/ -1.8), (-0.8/ 1.1/ -1.9), (-1.4/ 0.1/ -2.3), (-1.2/ 0.1/ -1.9), (-1.4/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.4929
Sad,(-1.5/ 1.1/ -1.8), (-0.9/ 1.1/ -1.6), (-1.1/ 0.1/ -2.0), (-1.2/ 0.1/ -1.9), (-1.3/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.2047
Sad,(-1.4/ 1.1/ -1.9), (-1.1/ 1.1/ -1.3), (-1.0/ 0.1/ -1.7), (-1.3/ 0.1/ -1.9), (-1.2/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2283
Sad,(-1.2/ 1.1/ -2.0), (-1.2/ 1.1/ -1.3), (-1.0/ 0.1/ -1.7), (-1.1/ 0.1/ -1.9), (-1.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.6033
Sad,(-1.1/ 1.1/ -2.0), (-1.1/ 1.1/ -1.3), (-1.0/ 0.1/ -1.7), (-1.0/ 0.1/ -1.9), (-1.0/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.3811
Sad,(-1.2/ 1.1/ -2.2), (-1.3/ 1.1/ -1.5), (-1.0/ 0.1/ -1.7), (-1.0/ 0.1/ -1.9), (-1.1/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.1577
Sad,(-1.2/ 1.1/ -2.2), (-1.5/ 1.1/ -1.6), (-1.0/ 0.1/ -1.6), (-1.0/ 0.1/ -1.9), (-1.1/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.7545
Sad,(-1.3/ 1.1/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.7921
Sad,(-1.3/ 1.1/ -2.0), (-1.6/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.6413
Sad,(-1.3/ 1.3/ -2.1), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.223
Sad,(-1.4/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.4906
Sad,(-1.4/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.6782
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.0754
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.5446
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7005
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8007
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8383
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.557
Sad,(-1.4/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.2975
Sad,(-1.4/ 1.2/ -1.9), (-1.4/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.2233
Sad,(-1.4/ 1.2/ -1.9), (-1.4/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.7042
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3853

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.9306
Sad,(-1.4/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.2321
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.2914
Sad,(-1.4/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3433
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.0457
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.1841
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.367
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.1/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.5493
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.1/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.101
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.1/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3986
Sad,(-1.3/ 1.2/ -2.0), (-1.4/ 1.2/ -1.3), (-1.1/ 0.1/ -1.6), (-1.1/ 0.1/ -1.8), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.0647
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.1/ 0.1/ -1.6), (-1.0/ 0.1/ -1.8), (-1.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3872
Sad,(-1.2/ 1.2/ -2.0), (-1.5/ 1.1/ -1.4), (-1.1/ 0.1/ -1.6), (-1.0/ 0.1/ -1.8), (-1.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.5427
Sad,(-1.3/ 1.2/ -2.0), (-1.5/ 1.1/ -1.3), (-1.1/ 0.1/ -1.6), (-1.0/ 0.1/ -1.8), (-1.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.7439
Sad,(-1.3/ 1.2/ -1.8), (-1.0/ 1.1/ -1.3), (-1.0/ 0.1/ -1.6), (-1.0/ 0.1/ -1.8), (-1.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.83652
Sad,(-1.3/ 1.2/ -1.7), (-0.7/ 1.1/ -1.3), (-0.9/ 0.1/ -1.4), (-1.0/ 0.1/ -1.8), (-1.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.06802
Sad,(-1.3/ 1.2/ -1.5), (-0.7/ 1.1/ -1.2), (-0.9/ 0.1/ -1.5), (-1.0/ 0.1/ -1.7), (-1.0/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.12948
Sad,(-1.4/ 1.2/ -1.3), (-0.7/ 1.1/ -1.0), (-0.9/ 0.1/ -1.4), (-1.2/ 0.1/ -1.3), (-1.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.40086
Sad,(-1.5/ 1.2/ -1.3), (-1.1/ 1.1/ -0.7), (-1.0/ 0.2/ -1.2), (-1.2/ 0.1/ -1.3), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.93686
Sad,(-1.5/ 1.2/ -1.4), (-1.5/ 1.1/ -0.7), (-1.2/ 0.1/ -0.9), (-1.2/ 0.1/ -1.3), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.48275
Sad,(-1.3/ 1.2/ -1.3), (-1.6/ 1.1/ -0.6), (-1.2/ 0.1/ -0.9), (-1.2/ 0.1/ -1.1), (-1.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.18589
Sad,(-1.3/ 1.1/ -1.2), (-1.6/ 1.1/ -0.6), (-1.2/ 0.1/ -0.9), (-1.2/ 0.1/ -1.1), (-1.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.29696
Sad,(-1.4/ 1.1/ -1.3), (-1.5/ 1.1/ -0.6), (-1.2/ 0.1/ -0.9), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.01248
Sad,(-1.5/ 1.1/ -1.4), (-1.6/ 1.1/ -0.7), (-1.3/ 0.1/ -0.9), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.61572
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 84,27 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 111,7318 %
No se ha detectado ninguna palabra
