Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.0/ 1.1/ -0.2), (-3.4/ 1.2/ -0.6), (-3.4/ 0.1/ -0.2), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,206.2856
Sad,(-3.0/ 1.1/ -0.2), (-3.4/ 1.2/ -0.6), (-3.4/ 0.1/ -0.2), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,206.7182
Sad,(-3.1/ 1.1/ 0.0), (-3.2/ 1.2/ -0.6), (-3.4/ 0.1/ -0.2), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,205.4729
Sad,(-3.1/ 1.1/ -0.1), (-3.3/ 1.2/ -0.7), (-3.4/ 0.1/ -0.3), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,206.1026
Sad,(-3.0/ 1.1/ -0.3), (-3.7/ 1.2/ -0.4), (-3.5/ 0.1/ -0.1), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,213.1915
Sad,(-3.2/ 1.0/ -0.3), (-3.7/ 1.1/ 0.1), (-3.4/ 0.1/ 0.1), (-3.3/ 0.1/ -0.2), (-3.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,217.2347
Sad,(-3.3/ 1.1/ -0.4), (-3.7/ 1.1/ 0.1), (-3.4/ 0.1/ 0.1), (-3.3/ 0.1/ -0.2), (-3.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,222.313
Sad,(-3.4/ 1.1/ -0.4), (-3.6/ 1.1/ 0.2), (-3.4/ 0.1/ 0.1), (-3.4/ 0.1/ -0.2), (-3.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,221.7992
Sad,(-3.4/ 1.0/ -0.4), (-3.3/ 1.1/ 0.2), (-3.3/ 0.1/ 0.1), (-3.4/ 0.1/ -0.2), (-3.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,216.9363
Sad,(-3.6/ 1.0/ -0.4), (-3.5/ 1.1/ 0.2), (-3.3/ 0.1/ 0.1), (-3.6/ 0.1/ -0.2), (-3.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,225.6
Sad,(-3.6/ 1.1/ -0.5), (-3.6/ 1.1/ 0.2), (-3.5/ 0.2/ 0.0), (-3.6/ 0.1/ -0.2), (-3.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,232.6595
Sad,(-3.6/ 1.1/ -0.6), (-3.6/ 1.1/ 0.1), (-3.6/ 0.1/ -0.3), (-3.6/ 0.1/ -0.2), (-3.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,233.6259
