Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
Sad,(-0.1/ 0.8/ -0.8), (-0.3/ 1.2/ -0.8), (-0.2/ 0.1/ -0.8), (-0.2/ 0.1/ -0.9), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.36896
