Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.5/ 1.1/ -0.6), (-1.7/ 1.2/ -0.2), (-1.6/ 0.1/ -0.3), (-1.5/ 0.1/ -0.5), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.707
Sad,(-1.5/ 1.1/ -0.6), (-1.6/ 1.2/ -0.3), (-1.6/ 0.1/ -0.3), (-1.5/ 0.1/ -0.5), (-1.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.68364
Sad,(-1.5/ 1.1/ -0.6), (-1.6/ 1.2/ -0.3), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.96965
Sad,(-1.4/ 1.1/ -0.6), (-1.6/ 1.2/ -0.3), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.34953
Sad,(-1.3/ 1.1/ -0.7), (-1.5/ 1.2/ -0.3), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.77298
Sad,(-1.4/ 1.1/ -0.8), (-1.4/ 1.2/ -0.4), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.21939
Sad,(-1.3/ 1.1/ -0.8), (-1.4/ 1.2/ -0.4), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.38403
Sad,(-1.3/ 1.1/ -0.8), (-1.3/ 1.2/ -0.4), (-1.6/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.04668
Sad,(-1.4/ 1.1/ -0.8), (-1.3/ 1.2/ -0.3), (-1.5/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.14884
Sad,(-1.4/ 1.1/ -0.8), (-1.3/ 1.2/ -0.3), (-1.5/ 0.1/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.14388
Sad,(-1.3/ 1.1/ -0.8), (-1.4/ 1.2/ -0.3), (-1.4/ 0.1/ -0.6), (-1.3/ 0.1/ -0.5), (-1.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.9691
Sad,(-1.3/ 1.1/ -0.9), (-1.4/ 1.2/ -0.4), (-1.4/ 0.1/ -0.6), (-1.2/ 0.1/ -0.7), (-1.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.82539
Sad,(-1.2/ 1.1/ -1.0), (-1.4/ 1.2/ -0.5), (-1.4/ 0.1/ -0.6), (-1.2/ 0.1/ -0.8), (-1.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.31659
Sad,(-1.2/ 1.1/ -1.1), (-1.4/ 1.2/ -0.6), (-1.3/ 0.1/ -1.0), (-1.2/ 0.1/ -0.8), (-1.2/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.27973
Sad,(-1.2/ 1.1/ -1.3), (-1.5/ 1.2/ -0.8), (-1.3/ 0.1/ -1.0), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.19839
Sad,(-1.2/ 1.1/ -1.4), (-1.5/ 1.2/ -0.9), (-1.3/ 0.1/ -1.0), (-1.2/ 0.1/ -1.3), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.06239
Sad,(-1.1/ 1.1/ -1.5), (-1.5/ 1.2/ -1.0), (-1.4/ 0.1/ -1.3), (-1.2/ 0.1/ -1.3), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.16314
Sad,(-1.3/ 1.1/ -1.6), (-1.5/ 1.1/ -1.1), (-1.4/ 0.1/ -1.4), (-1.2/ 0.1/ -1.3), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.68066
Sad,(-1.3/ 1.3/ -1.8), (-1.5/ 1.3/ -1.3), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.4/ 1.4/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.91264
Sad,(-1.3/ 1.4/ -1.7), (-1.6/ 1.3/ -1.4), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.132
Sad,(-1.3/ 1.4/ -1.7), (-1.7/ 1.3/ -1.4), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.2371
Sad,(-1.3/ 1.4/ -1.7), (-1.7/ 1.3/ -1.5), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.7537
Sad,(-1.3/ 1.4/ -1.7), (-1.7/ 1.3/ -1.5), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.7874
Sad,(-1.2/ 1.4/ -1.8), (-1.6/ 1.3/ -1.6), (-1.4/ 0.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.3/ 1.4/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.9491
Sad,(-1.1/ 1.3/ -1.9), (-1.5/ 1.3/ -1.5), (-1.4/ 0.1/ -1.5), (-1.3/ 0.1/ -1.6), (-1.3/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.9351
Sad,(-1.1/ 1.1/ -1.8), (-1.4/ 1.0/ -1.4), (-1.4/ 0.1/ -1.6), (-1.3/ 0.1/ -1.6), (-1.3/ 1.4/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.9335
Sad,(-1.2/ 1.2/ -1.8), (-1.4/ 1.0/ -1.4), (-1.4/ 0.1/ -1.6), (-1.3/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.7519
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.0/ -1.4), (-1.4/ 0.1/ -1.7), (-1.3/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.5873
Sad,(-1.2/ 1.1/ -1.8), (-1.3/ 1.0/ -1.4), (-1.5/ 0.1/ -1.7), (-1.3/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.4998
Sad,(-1.3/ 1.1/ -1.8), (-1.4/ 1.0/ -1.3), (-1.4/ 0.1/ -1.6), (-1.3/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.3523
Sad,(-1.3/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.3/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.3525
Sad,(-1.3/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.3/ 0.1/ -1.7), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.0017
Sad,(-1.3/ 1.2/ -1.9), (-1.5/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.6114
