Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.5/ 1.0/ -0.7), (-1.2/ 1.2/ -1.5), (-1.4/ 0.1/ -0.9), (-1.5/ 0.1/ -1.2), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.1713
Sad,(-1.5/ 1.1/ -0.7), (-1.2/ 1.2/ -1.5), (-1.4/ 0.1/ -0.9), (-1.5/ 0.1/ -1.2), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.90301
Sad,(-1.6/ 1.1/ -0.7), (-1.2/ 1.2/ -1.4), (-1.5/ 0.1/ -0.9), (-1.5/ 0.1/ -1.2), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.84828
Sad,(-1.7/ 1.0/ -0.6), (-1.1/ 1.1/ -1.2), (-1.5/ 0.1/ -0.9), (-1.5/ 0.1/ -1.2), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.53638
Sad,(-1.8/ 1.0/ -0.8), (-0.9/ 1.1/ -1.0), (-1.5/ 0.1/ -0.9), (-1.3/ 0.1/ -1.1), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.41281
Sad,(-1.8/ 1.1/ -1.1), (-1.0/ 1.1/ -0.7), (-1.5/ 0.1/ -1.0), (-1.3/ 0.1/ -1.1), (-1.4/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.90264
Sad,(-1.9/ 1.1/ -1.2), (-1.1/ 1.1/ -0.7), (-1.5/ 0.1/ -1.0), (-1.2/ 0.1/ -1.1), (-1.5/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.79729
Sad,(-1.8/ 1.1/ -1.2), (-1.1/ 1.1/ -0.6), (-1.5/ 0.1/ -1.0), (-1.2/ 0.1/ -0.9), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.07336
Sad,(-1.7/ 1.1/ -1.1), (-1.0/ 1.1/ -0.5), (-1.5/ 0.1/ -1.0), (-1.2/ 0.1/ -0.9), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.98787
Sad,(-1.7/ 1.1/ -1.2), (-1.1/ 1.0/ -0.5), (-1.4/ 0.1/ -1.0), (-1.2/ 0.1/ -0.9), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.26765
Sad,(-1.7/ 1.0/ -1.2), (-1.1/ 1.1/ -0.6), (-1.4/ 0.1/ -1.0), (-1.2/ 0.1/ -0.9), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.0423
