Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.3/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.28199
Fearful,(-0.3/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.1776
Fearful,(-0.3/ 1.0/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.4423
Fearful,(-0.3/ 1.0/ -0.4), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.03859
Fearful,(-0.3/ 1.0/ -0.4), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.03859
Fearful,(-0.3/ 1.0/ -0.4), (-0.5/ 1.1/ -0.1), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.50958
Fearful,(-0.2/ 1.0/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.3), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.01665
Fearful,(-0.2/ 1.0/ -0.5), (-0.4/ 1.1/ -0.2), (-0.2/ 0.1/ -0.3), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.71692
Fearful,(-0.1/ 1.0/ -0.6), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.3), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.05418
Fearful,(-0.2/ 1.0/ -0.6), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.3), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.30081
Fearful,(-0.2/ 1.1/ -0.7), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.49728
