Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.0/ 1.1/ -1.7), (-2.2/ 1.1/ -1.0), (-2.0/ 0.1/ -1.4), (-1.9/ 0.1/ -1.4), (-2.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.0981
Sad,(-2.0/ 1.1/ -1.7), (-2.2/ 1.1/ -1.0), (-2.0/ 0.1/ -1.4), (-1.9/ 0.1/ -1.4), (-2.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.2753
Sad,(-2.0/ 1.0/ -1.7), (-2.2/ 1.1/ -1.0), (-2.0/ 0.1/ -1.4), (-1.9/ 0.1/ -1.4), (-2.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.9241
Sad,(-2.0/ 1.0/ -1.6), (-2.2/ 1.0/ -1.0), (-2.0/ 0.1/ -1.4), (-1.9/ 0.1/ -1.4), (-2.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.057
Sad,(-2.1/ 1.0/ -1.6), (-2.2/ 1.0/ -1.0), (-2.1/ 0.1/ -1.4), (-1.9/ 0.1/ -1.4), (-2.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.033
Sad,(-2.2/ 1.0/ -1.7), (-2.3/ 1.0/ -1.0), (-2.1/ 0.1/ -1.4), (-2.0/ 0.2/ -1.3), (-2.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,136.9314
Sad,(-2.1/ 1.0/ -1.5), (-2.4/ 1.0/ -0.9), (-2.1/ 0.1/ -1.4), (-2.0/ 0.1/ -1.2), (-2.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.0909

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 56,98 segundos

CAMINO 2

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 57,00653 %
No se ha detectado ninguna palabra
