Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.21946
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.23904
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.21902
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.3/ 0.3), 0.3333333, 0.3333333,58.17717
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.1/ 1.0/ 0.5), (-0.9/ -0.2/ 0.4), 0.3333333, 0.3333333,58.09973
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.8/ -0.2/ 0.6), 0.3333333, 0.3333333,58.08146
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.1/ 1.0/ 0.5), (-0.8/ -0.2/ 0.6), 0.3333333, 0.3333333,58.08802
Fearful,(0.3/ 0.9/ 0.8), (-0.8/ 0.9/ 0.0), (-0.2/ -0.4/ 0.4), (-0.3/ -0.4/ 0.4), (-0.3/ 1.0/ 0.4), (-0.8/ -0.2/ 0.6), 0.3333333, 0.3333333,58.2699
Angry,(0.3/ 0.9/ 0.8), (-0.8/ 0.9/ 0.1), (-0.2/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.8/ -0.2/ 0.5), 0.3333333, 0.3333333,58.26181
Angry,(0.4/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.8/ -0.2/ 0.5), 0.3333333, 0.3333333,58.14887
Fearful,(0.8/ 0.9/ -0.2), (0.0/ 0.9/ 0.8), (0.4/ -0.4/ 0.3), (0.3/ -0.4/ 0.4), (0.4/ 1.0/ 0.3), (-0.8/ -0.2/ 0.5), 0.3333333, 0.3333333,57.59868
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 18,11 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
