Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.1/ 1.0/ -0.3), (-2.2/ 1.2/ -0.3), (-2.3/ 0.1/ -0.1), (-2.0/ 0.1/ -0.1), (-2.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.3628
Sad,(-2.0/ 1.0/ -0.3), (-2.1/ 1.2/ -0.3), (-2.3/ 0.1/ -0.1), (-2.0/ 0.1/ -0.1), (-2.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.4387
Sad,(-1.8/ 1.0/ -0.2), (-2.0/ 1.2/ -0.2), (-2.0/ 0.1/ 0.0), (-2.0/ 0.1/ -0.1), (-2.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.1563
Sad,(-1.9/ 1.0/ -0.3), (-2.0/ 1.1/ -0.2), (-2.0/ 0.1/ 0.0), (-1.9/ 0.1/ -0.1), (-2.0/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.8392
Sad,(-1.8/ 1.0/ -0.3), (-1.9/ 1.1/ -0.2), (-2.0/ 0.1/ 0.0), (-1.7/ 0.1/ -0.2), (-1.9/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.3321
Sad,(-1.7/ 1.0/ -0.3), (-1.8/ 1.1/ -0.3), (-2.0/ 0.1/ 0.0), (-1.7/ 0.1/ -0.2), (-1.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.741
Sad,(-1.6/ 1.0/ -0.3), (-1.7/ 1.2/ -0.4), (-2.0/ 0.1/ 0.0), (-1.7/ 0.1/ -0.2), (-1.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.3568
Sad,(-1.6/ 1.0/ -0.3), (-1.7/ 1.2/ -0.4), (-1.8/ 0.1/ -0.2), (-1.7/ 0.1/ -0.2), (-1.6/ 1.4/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.44069
Sad,(-1.6/ 1.0/ -0.4), (-1.7/ 1.2/ -0.5), (-1.7/ 0.1/ -0.3), (-1.7/ 0.1/ -0.2), (-1.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.07088
Sad,(-1.6/ 1.0/ -0.5), (-1.7/ 1.2/ -0.5), (-1.7/ 0.1/ -0.3), (-1.7/ 0.1/ -0.2), (-1.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.43591
Sad,(-1.7/ 1.1/ -0.6), (-1.7/ 1.1/ -0.3), (-1.7/ 0.1/ -0.3), (-1.7/ 0.1/ -0.3), (-1.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.99284
Sad,(-1.8/ 1.2/ -0.7), (-1.6/ 1.1/ -0.3), (-1.7/ 0.1/ -0.3), (-1.6/ 0.1/ -0.4), (-1.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,91.28182
Sad,(-1.8/ 1.2/ -0.8), (-1.6/ 1.1/ -0.4), (-1.6/ 0.1/ -0.4), (-1.6/ 0.1/ -0.4), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.69485
Sad,(-1.8/ 1.2/ -0.8), (-1.6/ 1.1/ -0.4), (-1.6/ 0.1/ -0.4), (-1.5/ 0.1/ -0.6), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.59879
Sad,(-1.8/ 1.2/ -0.9), (-1.5/ 1.1/ -0.5), (-1.6/ 0.1/ -0.4), (-1.5/ 0.1/ -0.7), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.00941
Sad,(-1.8/ 1.2/ -1.0), (-1.5/ 1.1/ -0.5), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.75204
Sad,(-1.8/ 1.2/ -1.0), (-1.5/ 1.1/ -0.5), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.5139
Sad,(-1.8/ 1.2/ -1.0), (-1.5/ 1.1/ -0.5), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.33643
Sad,(-1.8/ 1.2/ -1.0), (-1.5/ 1.1/ -0.4), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.34308
Sad,(-1.7/ 1.0/ -0.8), (-1.4/ 1.0/ -0.4), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.3866
Sad,(-1.7/ 1.1/ -0.7), (-1.4/ 1.0/ -0.3), (-1.6/ 0.1/ -0.5), (-1.5/ 0.1/ -0.6), (-1.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.21941
Sad,(-1.8/ 1.1/ -0.8), (-1.5/ 1.0/ -0.4), (-1.6/ 0.1/ -0.4), (-1.5/ 0.1/ -0.6), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.63738
Sad,(-1.9/ 1.2/ -0.8), (-1.5/ 1.0/ -0.3), (-1.6/ 0.1/ -0.4), (-1.5/ 0.1/ -0.6), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.19585
Sad,(-1.9/ 1.1/ -0.8), (-1.5/ 1.0/ -0.3), (-1.6/ 0.1/ -0.4), (-1.6/ 0.1/ -0.7), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.69963
Sad,(-1.9/ 1.1/ -0.8), (-1.5/ 1.0/ -0.3), (-1.6/ 0.1/ -0.4), (-1.6/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.53246
Sad,(-1.9/ 1.1/ -0.9), (-1.5/ 1.0/ -0.3), (-1.6/ 0.1/ -0.4), (-1.6/ 0.1/ -0.7), (-1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.69846
Sad,(-1.9/ 1.1/ -0.9), (-1.5/ 1.0/ -0.3), (-1.7/ 0.1/ -0.5), (-1.6/ 0.1/ -0.7), (-1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.44585
Sad,(-2.0/ 1.1/ -0.9), (-1.7/ 1.0/ -0.3), (-1.8/ 0.1/ -0.6), (-1.6/ 0.1/ -0.7), (-1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.29549
Sad,(-1.9/ 1.0/ -0.9), (-1.8/ 1.0/ -0.2), (-1.8/ 0.1/ -0.6), (-1.7/ 0.1/ -0.7), (-1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.3656
Sad,(-1.9/ 1.1/ -0.9), (-1.8/ 1.0/ -0.2), (-1.8/ 0.1/ -0.6), (-1.7/ 0.1/ -0.7), (-1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.6013
Sad,(-2.0/ 1.1/ -1.0), (-1.9/ 1.0/ -0.3), (-1.8/ 0.1/ -0.6), (-1.8/ 0.1/ -0.8), (-1.9/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.7466
Sad,(-1.9/ 1.0/ -1.0), (-2.0/ 1.0/ -0.3), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.8), (-1.9/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.4333
Sad,(-1.9/ 1.0/ -0.8), (-2.1/ 1.0/ -0.3), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.8), (-1.9/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.7588
Sad,(-1.9/ 1.0/ -0.9), (-2.1/ 1.0/ -0.3), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.8), (-1.9/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.6215
Sad,(-1.9/ 1.0/ -0.8), (-2.1/ 1.0/ -0.3), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.8/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.762

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.8/ 1.0/ -0.7), (-2.0/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.8/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.5926
Sad,(-1.7/ 0.9/ -0.6), (-2.0/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.0966
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.627
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2303
Sad,(-1.7/ 0.9/ -0.6), (-2.0/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7057
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.316
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 0.9/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3909
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.5462
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.3168
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.6621
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 0.9/ -0.2), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.7218
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.9759
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.2245
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.3322
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.0566
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.5136
Sad,(-1.7/ 0.9/ -0.6), (-1.8/ 1.0/ -0.2), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.1187
Sad,(-1.6/ 0.9/ -0.6), (-1.8/ 1.0/ -0.1), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.3901
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.1), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.2995
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.1), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.5725
Sad,(-1.7/ 0.9/ -0.5), (-1.9/ 1.0/ -0.1), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.1287
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.1), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.6456
Sad,(-1.7/ 0.9/ -0.5), (-1.9/ 1.0/ -0.1), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.9623
Sad,(-1.7/ 0.9/ -0.5), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.6/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.0715
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.6), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.4835
Sad,(-1.7/ 0.9/ -0.6), (-1.9/ 1.0/ -0.2), (-2.0/ 0.1/ -0.6), (-1.8/ 0.1/ -0.5), (-1.7/ 1.3/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.9667
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 84,42 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 47,49316 %
No se ha detectado ninguna palabra
