Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-5.2/ 1.1/ -0.3), (-5.5/ 1.0/ 0.3), (-4.9/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,348.2159
Sad,(-5.1/ 1.1/ -0.2), (-5.4/ 1.0/ 0.3), (-4.9/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,346.0545
Sad,(-5.2/ 1.1/ -0.2), (-5.5/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,348.1373
Sad,(-5.2/ 1.1/ -0.2), (-5.4/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,349.6772
Sad,(-5.2/ 1.1/ -0.2), (-5.5/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,350.7398
Sad,(-5.2/ 1.1/ -0.3), (-5.5/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,349.6917
Sad,(-5.2/ 1.2/ -0.3), (-5.5/ 1.1/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,350.8407
Sad,(-5.2/ 1.1/ -0.2), (-5.5/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,350.4031
Sad,(-5.2/ 1.2/ -0.3), (-5.5/ 1.0/ 0.3), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,349.8865
Sad,(-5.1/ 1.2/ -0.3), (-5.5/ 1.0/ 0.2), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,346.6783
Sad,(-4.9/ 1.1/ -0.2), (-5.5/ 1.0/ 0.2), (-5.0/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,344.3273
Sad,(-5.1/ 1.2/ -0.3), (-5.5/ 1.0/ 0.1), (-5.3/ 0.2/ 0.0), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,351.0172
Sad,(-5.2/ 1.2/ -0.5), (-5.6/ 1.0/ 0.1), (-5.2/ 0.1/ 0.0), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,353.4271
Sad,(-5.4/ 1.1/ -0.5), (-5.6/ 1.0/ 0.1), (-5.2/ 0.1/ 0.0), (-5.4/ 0.1/ -0.1), (-5.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,362.5707
