Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.9/ 1.0/ -0.7), (-1.8/ 1.2/ -0.6), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.3056
Sad,(-1.9/ 1.0/ -0.7), (-1.8/ 1.2/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.3452
Sad,(-1.9/ 1.0/ -0.6), (-1.9/ 1.2/ -0.6), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.7437
Sad,(-2.0/ 1.0/ -0.6), (-1.9/ 1.2/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.6666
Sad,(-2.1/ 1.0/ -0.5), (-2.0/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.0392
Sad,(-2.1/ 1.1/ -0.4), (-2.0/ 1.1/ -0.3), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.2038
Sad,(-2.0/ 1.0/ -0.5), (-2.0/ 1.0/ -0.4), (-1.9/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.8177
Sad,(-1.8/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-1.9/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.6581
Sad,(-1.8/ 1.0/ -0.5), (-1.7/ 1.1/ -0.5), (-1.9/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.12
Sad,(-1.8/ 1.0/ -0.6), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.2943
Sad,(-1.8/ 1.0/ -0.5), (-1.8/ 1.1/ -0.5), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.1101
