Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.9/ 1.2/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.1493
Sad,(-2.9/ 1.2/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.344
Sad,(-2.9/ 1.2/ 0.3), (-2.2/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.893
Sad,(-2.9/ 1.2/ 0.4), (-2.3/ 1.1/ 0.7), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,172.0237
Sad,(-2.9/ 1.1/ 0.3), (-2.2/ 1.1/ 0.5), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.4306
Sad,(-2.9/ 1.1/ 0.3), (-2.2/ 1.1/ 0.5), (-2.5/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.3748
Sad,(-2.9/ 1.1/ 0.2), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,171.0218
Sad,(-2.9/ 1.1/ 0.3), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.8346
Sad,(-2.9/ 1.1/ 0.3), (-2.4/ 1.1/ 0.7), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,171.8556
Sad,(-3.0/ 1.2/ 0.0), (-2.6/ 1.2/ 0.8), (-2.7/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,177.692
Sad,(-2.9/ 1.1/ 0.3), (-2.4/ 1.1/ 0.7), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,172.3637
Sad,(-2.8/ 1.1/ 0.4), (-2.2/ 1.1/ 0.6), (-2.5/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,167.6964
Sad,(-2.9/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.5/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.8171
Sad,(-2.9/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.9588

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3
Sad,(-2.9/ 1.1/ 0.4), (-2.2/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.1905

CAMINO 3

CAMINO 3

CAMINO 3
Sad,(-2.9/ 1.2/ 0.4), (-2.2/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.2717
Sad,(-2.8/ 1.1/ 0.4), (-2.2/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.0056
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.1494
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.0506
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.1372
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.1602
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.1438
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.9662

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.9963

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.0357

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3
Sad,(-2.8/ 1.1/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,169.0099

CAMINO 3

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 66,27 segundos

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

CAMINO 3

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
