Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.8/ 1.4/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.57534
Disgusted,(0.8/ 1.4/ 0.6), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.56091
Disgusted,(0.8/ 1.4/ 0.6), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.49962
Disgusted,(0.9/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.68584
Disgusted,(0.9/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.13376
Disgusted,(0.9/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.91258
Disgusted,(0.9/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.19328
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.6739
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.31344
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.4/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.03131
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (0.9/ 0.1/ 1.1), (0.9/ 1.4/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.83113
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.4/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.39717
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.4/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.90436
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.50888
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.94781
