Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.8/ 1.0/ 1.2), (0.6/ 1.1/ 1.3), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.403
Disgusted,(0.8/ 1.3/ 1.1), (0.5/ 1.1/ 1.3), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.5094
Disgusted,(0.8/ 1.3/ 1.1), (0.5/ 1.1/ 1.3), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2655
Disgusted,(0.8/ 1.3/ 1.1), (0.5/ 1.1/ 1.4), (1.1/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.3491
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.4), (1.1/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.4461
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.1754
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.0849
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.0498
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.741
Disgusted,(0.8/ 1.1/ 1.2), (0.5/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.2284
