Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.42504
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.42209
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.43005
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.49722
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.8/ -0.5/ 0.4), 0.3333333, 0.3333333,58.55125
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Angry,(0.8/ 0.9/ 0.1), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.2/ -0.4/ 0.5), (0.3/ 1.0/ 0.4), (-0.5/ -0.5/ 0.7), 0.3333333, 0.3333333,58.62548
Angry,(0.8/ 0.9/ 0.2), (-0.4/ 0.9/ 0.8), (0.3/ -0.4/ 0.4), (0.1/ -0.4/ 0.5), (0.2/ 1.0/ 0.4), (-0.4/ -0.5/ 0.8), 0.3333333, 0.3333333,58.52293
Angry,(0.8/ 0.9/ 0.2), (-0.4/ 0.9/ 0.7), (0.3/ -0.4/ 0.4), (0.1/ -0.4/ 0.5), (0.2/ 1.0/ 0.5), (-0.6/ -0.6/ 0.5), 0.3333333, 0.3333333,58.47718
Angry,(0.8/ 0.9/ 0.3), (-0.5/ 0.9/ 0.7), (0.2/ -0.4/ 0.5), (0.0/ -0.4/ 0.5), (0.1/ 1.0/ 0.5), (-0.8/ -0.5/ 0.3), 0.3333333, 0.3333333,58.33987
Angry,(0.7/ 0.9/ 0.4), (-0.6/ 0.9/ 0.6), (0.1/ -0.4/ 0.5), (0.0/ -0.4/ 0.5), (0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.3), 0.3333333, 0.3333333,58.28079
