Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Happy,(-3.2/ 1.0/ 1.5), (-3.4/ 1.0/ 1.6), (-3.1/ 0.1/ 1.5), (-3.0/ 0.1/ 1.9), (-3.2/ 1.5/ 1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,255.7554
Neutral,(-3.2/ 1.0/ 1.5), (-3.4/ 1.0/ 1.6), (-3.2/ 0.1/ 1.4), (-3.0/ 0.1/ 1.9), (-3.2/ 1.4/ 1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,254.2309
Neutral,(-3.2/ 1.0/ 1.2), (-3.5/ 1.1/ 1.4), (-3.2/ 0.1/ 1.4), (-3.1/ 0.2/ 1.8), (-3.2/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.2435
Sad,(-3.2/ 1.0/ 1.1), (-3.5/ 1.1/ 1.3), (-3.2/ 0.1/ 1.4), (-3.4/ 0.1/ 1.4), (-3.2/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.4409
Sad,(-3.5/ 1.0/ 1.1), (-3.7/ 1.1/ 1.3), (-3.3/ 0.1/ 1.4), (-3.4/ 0.1/ 1.4), (-3.4/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,257.997
Sad,(-3.7/ 1.0/ 1.0), (-3.8/ 1.0/ 1.2), (-3.8/ 0.1/ 1.0), (-3.4/ 0.1/ 1.4), (-3.6/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,266.7346
Sad,(-3.8/ 1.0/ 0.8), (-4.0/ 1.1/ 1.0), (-3.9/ 0.1/ 0.9), (-3.4/ 0.1/ 1.3), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,269.0637
Sad,(-3.9/ 1.0/ 0.7), (-4.1/ 1.1/ 0.9), (-3.9/ 0.1/ 0.9), (-3.9/ 0.2/ 1.0), (-3.8/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,274.3181
Sad,(-4.0/ 1.0/ 0.7), (-4.3/ 1.1/ 0.9), (-3.9/ 0.1/ 0.9), (-4.0/ 0.1/ 1.0), (-4.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,282.8387
Sad,(-4.2/ 1.0/ 0.7), (-4.5/ 1.0/ 0.9), (-4.3/ 0.1/ 0.7), (-4.0/ 0.1/ 1.0), (-4.2/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,295.3809
Sad,(-4.4/ 1.0/ 0.5), (-4.6/ 1.0/ 0.8), (-4.5/ 0.1/ 0.6), (-4.0/ 0.1/ 0.9), (-4.4/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,302.2285
Sad,(-4.4/ 1.0/ 0.4), (-4.7/ 1.0/ 0.6), (-4.5/ 0.1/ 0.6), (-4.3/ 0.1/ 0.8), (-4.5/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,306.4155
Sad,(-4.4/ 1.0/ 0.6), (-4.7/ 1.0/ 0.5), (-4.5/ 0.1/ 0.6), (-4.4/ 0.1/ 0.9), (-4.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,308.7101
Sad,(-4.3/ 1.0/ 0.6), (-4.6/ 1.0/ 0.5), (-4.3/ 0.1/ 0.7), (-4.4/ 0.1/ 0.9), (-4.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,303.2769
Sad,(-4.1/ 1.0/ 0.6), (-4.4/ 1.0/ 0.5), (-4.2/ 0.1/ 0.8), (-4.4/ 0.1/ 0.9), (-4.3/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,296.9313
Sad,(-4.1/ 1.0/ 0.7), (-4.3/ 1.1/ 0.6), (-4.2/ 0.1/ 0.8), (-4.1/ 0.1/ 1.0), (-4.2/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,289.8225
Sad,(-4.2/ 1.0/ 0.6), (-4.5/ 1.0/ 0.7), (-4.1/ 0.1/ 0.8), (-4.1/ 0.1/ 1.0), (-4.2/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,292.2238
Sad,(-4.0/ 1.0/ 0.7), (-4.3/ 1.1/ 0.8), (-4.0/ 0.1/ 0.9), (-4.1/ 0.1/ 0.9), (-4.1/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,285.4354
Sad,(-4.0/ 1.0/ 0.7), (-4.2/ 1.1/ 0.8), (-4.0/ 0.1/ 0.9), (-3.9/ 0.1/ 1.0), (-4.0/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.1827
Sad,(-3.9/ 1.0/ 0.8), (-4.2/ 1.0/ 0.9), (-4.0/ 0.1/ 0.9), (-3.8/ 0.1/ 1.2), (-4.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.7754
