Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.4/ 1.1/ -0.5), (-0.6/ 1.2/ -0.4), (-1.0/ 0.1/ -0.5), (-0.9/ 0.1/ -0.3), (-0.9/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.04763
Sad,(-1.3/ 1.1/ -0.7), (-0.6/ 1.1/ -0.3), (-1.0/ 0.1/ -0.5), (-0.9/ 0.2/ -0.3), (-1.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.18245
Sad,(-1.1/ 1.1/ -0.8), (-0.7/ 1.1/ -0.1), (-1.0/ 0.1/ -0.5), (-1.0/ 0.1/ -0.2), (-1.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.24192
Sad,(-0.8/ 1.1/ -0.7), (-0.7/ 1.1/ 0.1), (-0.8/ 0.1/ -0.3), (-1.0/ 0.1/ -0.2), (-1.0/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.71875
Sad,(-0.8/ 1.1/ -0.7), (-0.7/ 1.1/ 0.1), (-0.7/ 0.1/ -0.2), (-1.0/ 0.1/ -0.2), (-0.9/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.76248
Sad,(-0.5/ 1.1/ -0.7), (-0.7/ 1.1/ 0.1), (-0.7/ 0.1/ -0.2), (-0.9/ 0.1/ -0.2), (-0.8/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.95852
Sad,(-0.4/ 1.1/ -0.6), (-0.7/ 1.1/ 0.1), (-0.7/ 0.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.8/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.70075
Sad,(-0.4/ 1.1/ -0.6), (-0.6/ 1.1/ 0.2), (-0.6/ 0.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.523
Sad,(-0.4/ 1.1/ -0.6), (-0.6/ 1.1/ 0.2), (-0.6/ 0.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.30001
Sad,(-0.4/ 1.1/ -0.7), (-0.4/ 1.1/ 0.1), (-0.6/ 0.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.45201
Sad,(-0.5/ 1.1/ -0.7), (-0.4/ 1.1/ 0.1), (-0.6/ 0.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.42691
Sad,(-0.5/ 1.1/ -0.7), (-0.4/ 1.1/ 0.1), (-0.6/ 0.1/ -0.2), (-0.9/ 0.1/ -0.1), (-0.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.62632
Sad,(-0.6/ 1.0/ -0.5), (-0.6/ 1.0/ 0.3), (-0.6/ 0.1/ -0.1), (-0.9/ 0.1/ -0.1), (-0.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.57331
Sad,(-0.9/ 1.0/ -0.4), (-0.6/ 1.0/ 0.3), (-1.1/ 0.1/ 0.2), (-0.9/ 0.1/ -0.1), (-0.9/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.54597
Sad,(-1.3/ 1.0/ -0.4), (-0.9/ 1.0/ 0.3), (-1.2/ 0.1/ 0.2), (-1.1/ 0.2/ 0.0), (-1.3/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.00813
Sad,(-1.2/ 1.0/ -0.3), (-1.0/ 1.0/ 0.4), (-1.2/ 0.1/ 0.2), (-1.7/ 0.2/ 0.3), (-1.3/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.90436
Neutral,(-1.0/ 1.0/ -0.1), (-1.4/ 1.0/ 0.7), (-1.2/ 0.1/ 0.2), (-1.6/ 0.1/ 0.2), (-1.4/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.4593
Neutral,(-1.1/ 1.0/ 0.0), (-1.4/ 1.0/ 0.8), (-1.4/ 0.1/ 0.6), (-1.6/ 0.1/ 0.2), (-1.5/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.39393
Neutral,(-1.1/ 1.0/ 0.0), (-1.3/ 1.0/ 0.7), (-1.4/ 0.1/ 0.6), (-1.6/ 0.1/ 0.2), (-1.4/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.90875
