Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.2/ 1.2/ -1.7), (-0.5/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.3/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.83036
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.2/ 1.2/ -1.7), (-0.5/ 1.2/ -1.5), (-0.1/ 0.1/ -1.5), (-0.3/ 0.1/ -1.3), (-0.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.56608
Sad,(-0.1/ 1.2/ -1.7), (-0.5/ 1.2/ -1.5), (-0.1/ 0.1/ -1.5), (-0.3/ 0.1/ -1.3), (-0.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.4811
Sad,(-0.1/ 1.2/ -1.7), (-0.4/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.3/ 0.1/ -1.3), (-0.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.7877
Sad,(0.0/ 1.2/ -1.7), (-0.3/ 1.0/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.56023
Sad,(0.0/ 1.2/ -1.7), (-0.3/ 1.0/ -1.3), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.59169
Sad,(0.0/ 1.2/ -1.7), (-0.3/ 1.0/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.83114
Sad,(0.1/ 1.2/ -1.7), (-0.3/ 1.0/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.49528
Sad,(0.0/ 1.2/ -1.7), (-0.3/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.31596
