Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 1.1/ -0.6), (-0.2/ 1.2/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.45514
Sad,(-0.1/ 1.1/ -0.6), (-0.2/ 1.2/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.06841
Sad,(-0.1/ 1.1/ -0.6), (-0.3/ 1.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.38075
Sad,(-0.2/ 1.1/ -0.6), (-0.3/ 1.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.3/ 0.1/ -0.7), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.35023
Sad,(-0.2/ 1.1/ -0.6), (-0.3/ 1.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.4/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.17496
Sad,(-0.2/ 1.1/ -0.7), (-0.3/ 1.1/ -0.8), (-0.1/ 0.1/ -0.6), (-0.4/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.49051
Sad,(-0.3/ 1.2/ -0.7), (-0.4/ 1.1/ -0.8), (-0.4/ 0.2/ -0.6), (-0.4/ 0.1/ -0.8), (-0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.11422
Sad,(-0.4/ 1.1/ -0.6), (-0.5/ 1.1/ -0.8), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.8), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.65665
Sad,(-0.5/ 1.1/ -0.6), (-0.6/ 1.1/ -0.7), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.8), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.40863
Sad,(-0.4/ 1.1/ -0.7), (-0.6/ 1.1/ -0.7), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.8), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.66762
Sad,(-0.4/ 1.1/ -0.7), (-0.6/ 1.1/ -0.8), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.8), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.8933
