Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.0/ 0.8/ -0.2), (-1.7/ 1.1/ -0.5), (-2.0/ 0.1/ -0.5), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.5902
Sad,(-2.0/ 0.8/ -0.3), (-1.7/ 1.0/ -0.6), (-2.0/ 0.1/ -0.5), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.8276
Sad,(-2.0/ 0.8/ -0.3), (-1.7/ 1.0/ -0.7), (-2.0/ 0.1/ -0.5), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.7521
Sad,(-2.0/ 0.8/ -0.3), (-1.7/ 1.0/ -0.7), (-2.0/ 0.1/ -0.5), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.9045
Sad,(-2.0/ 0.8/ -0.3), (-1.7/ 1.0/ -0.6), (-2.0/ 0.1/ -0.5), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.2938
Sad,(-1.8/ 0.8/ -0.5), (-1.9/ 1.1/ -1.0), (-2.0/ 0.1/ -0.6), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.4543
Sad,(-1.9/ 0.8/ -0.8), (-2.2/ 1.0/ -0.9), (-2.0/ 0.1/ -0.6), (-2.1/ 0.1/ -0.6), (-2.0/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.094
Sad,(-2.0/ 0.8/ -0.9), (-2.3/ 1.0/ -0.7), (-2.0/ 0.1/ -0.6), (-2.0/ 0.1/ -0.4), (-2.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.9839
Sad,(-2.1/ 0.8/ -0.8), (-2.4/ 1.1/ -0.7), (-2.0/ 0.1/ -0.6), (-2.0/ 0.1/ -0.5), (-2.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.0302
Sad,(-1.7/ 0.8/ -0.9), (-2.1/ 1.1/ -1.0), (-1.9/ 0.1/ -0.7), (-2.0/ 0.1/ -0.5), (-1.9/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.4178
Sad,(-1.6/ 0.9/ -0.7), (-1.9/ 1.1/ -1.0), (-1.9/ 0.1/ -0.7), (-2.1/ 0.1/ -0.6), (-1.9/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.2355
Sad,(-1.9/ 0.9/ -1.1), (-2.3/ 1.1/ -1.0), (-1.9/ 0.1/ -0.9), (-2.1/ 0.1/ -0.6), (-2.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.7359
Sad,(-2.1/ 1.0/ -1.4), (-2.3/ 1.2/ -1.0), (-2.0/ 0.1/ -0.9), (-1.9/ 0.1/ -0.7), (-2.0/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.1221
Sad,(-2.4/ 1.2/ -1.5), (-2.5/ 1.2/ -1.1), (-2.0/ 0.1/ -0.9), (-2.1/ 0.1/ -1.0), (-2.1/ 1.4/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.1218
Sad,(-2.5/ 1.1/ -1.6), (-2.7/ 1.2/ -1.2), (-2.3/ 0.2/ -1.2), (-2.2/ 0.1/ -1.0), (-2.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.6692
Sad,(-2.3/ 0.9/ -1.7), (-2.7/ 1.1/ -1.3), (-2.4/ 0.1/ -1.4), (-2.2/ 0.1/ -1.0), (-2.4/ 1.4/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.712
Sad,(-2.5/ 1.0/ -1.9), (-2.8/ 1.1/ -1.6), (-2.4/ 0.1/ -1.4), (-2.6/ 0.1/ -1.5), (-2.5/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,172.1777
Sad,(-2.6/ 0.9/ -1.9), (-2.9/ 1.0/ -1.7), (-2.6/ 0.2/ -1.7), (-2.6/ 0.1/ -1.4), (-2.6/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,183.3079
Sad,(-2.7/ 0.9/ -2.0), (-3.0/ 1.0/ -1.8), (-2.8/ 0.1/ -1.9), (-2.6/ 0.1/ -1.4), (-2.8/ 1.4/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,194.2997
Sad,(-2.6/ 0.9/ -2.2), (-3.1/ 1.1/ -2.0), (-2.8/ 0.1/ -1.9), (-2.5/ 0.3/ -1.6), (-2.8/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,197.2614
Sad,(-2.7/ 0.9/ -2.3), (-3.1/ 1.1/ -2.0), (-2.8/ 0.1/ -1.9), (-2.7/ 0.3/ -1.7), (-2.8/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,202.9066
Sad,(-2.7/ 0.9/ -2.3), (-3.1/ 1.1/ -2.0), (-2.8/ 0.1/ -1.9), (-2.9/ 0.1/ -1.8), (-2.8/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,206.9896
Sad,(-2.8/ 0.9/ -2.3), (-3.3/ 1.0/ -2.0), (-2.8/ 0.1/ -1.9), (-2.9/ 0.1/ -1.7), (-2.9/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,209.8697
Sad,(-2.9/ 0.9/ -2.3), (-3.3/ 1.0/ -2.0), (-2.9/ 0.1/ -2.1), (-2.9/ 0.1/ -1.7), (-3.0/ 1.4/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,215.3871
Sad,(-2.8/ 0.9/ -2.5), (-3.2/ 1.0/ -2.3), (-3.0/ 0.1/ -2.4), (-2.9/ 0.1/ -1.7), (-2.9/ 1.4/ -2.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,222.1383
Sad,(-2.9/ 0.9/ -2.7), (-3.2/ 1.0/ -2.5), (-3.0/ 0.1/ -2.4), (-3.1/ 0.1/ -2.3), (-2.9/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,235.6799
Sad,(-3.1/ 1.0/ -3.0), (-3.5/ 1.1/ -2.6), (-3.0/ 0.2/ -2.5), (-3.1/ 0.1/ -2.5), (-3.1/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,251.734
Sad,(-3.3/ 0.9/ -3.0), (-3.5/ 1.0/ -2.6), (-3.1/ 0.1/ -2.9), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,260.5202
Sad,(-3.5/ 1.1/ -3.1), (-3.4/ 1.2/ -2.5), (-3.1/ 0.1/ -2.9), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,262.8835
Sad,(-3.4/ 1.0/ -3.1), (-3.4/ 1.1/ -2.6), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.1/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.5109
Sad,(-3.4/ 1.1/ -3.2), (-3.5/ 1.1/ -2.7), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,264.5009
Sad,(-3.4/ 1.0/ -3.2), (-3.5/ 1.0/ -2.8), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,264.7199
Sad,(-3.3/ 1.0/ -3.2), (-3.5/ 1.1/ -2.9), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,264.996
Sad,(-3.3/ 1.0/ -3.2), (-3.5/ 1.1/ -2.9), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,265.3908
Sad,(-3.3/ 1.1/ -3.2), (-3.5/ 1.1/ -2.8), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,265.5176
Sad,(-3.4/ 1.0/ -3.2), (-3.4/ 1.1/ -2.5), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.7017
Sad,(-3.5/ 1.0/ -3.1), (-3.4/ 1.1/ -2.5), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.3041
Sad,(-3.4/ 1.0/ -3.1), (-3.5/ 1.1/ -2.5), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.8417
Sad,(-3.4/ 1.0/ -3.1), (-3.5/ 1.0/ -2.6), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.7684
Sad,(-3.3/ 1.0/ -3.1), (-3.6/ 1.1/ -2.6), (-3.1/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.2555
Sad,(-3.2/ 1.0/ -3.1), (-3.6/ 1.0/ -2.8), (-3.2/ 0.1/ -2.8), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,262.7562
Sad,(-3.1/ 1.0/ -3.2), (-3.5/ 1.0/ -2.8), (-3.3/ 0.1/ -3.0), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,265.681
Sad,(-3.2/ 1.0/ -3.4), (-3.6/ 1.0/ -2.9), (-3.3/ 0.1/ -3.0), (-3.1/ 0.1/ -2.5), (-3.2/ 1.4/ -3.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,272.6409
Sad,(-3.5/ 1.0/ -3.5), (-3.5/ 1.1/ -2.9), (-3.3/ 0.1/ -3.0), (-3.2/ 0.1/ -2.8), (-3.2/ 1.5/ -3.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,281.4707
Sad,(-3.5/ 1.0/ -3.4), (-3.5/ 1.1/ -2.8), (-3.3/ 0.1/ -3.0), (-3.3/ 0.2/ -2.7), (-3.3/ 1.5/ -3.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,281.8338
Sad,(-3.6/ 1.0/ -3.3), (-3.6/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.4/ 1.4/ -3.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.4021
Sad,(-3.7/ 1.0/ -3.2), (-3.7/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.4/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.8318
Sad,(-3.7/ 1.0/ -3.2), (-3.7/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.5/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,281.7681
Sad,(-3.7/ 1.0/ -3.2), (-3.7/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.5/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.9853
Sad,(-3.6/ 1.0/ -3.2), (-3.7/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.4/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.7307
Sad,(-3.6/ 1.0/ -3.2), (-3.7/ 1.1/ -2.6), (-3.3/ 0.1/ -3.0), (-3.3/ 0.1/ -2.7), (-3.4/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,280.5899
Sad,(-3.5/ 1.0/ -3.2), (-3.7/ 1.0/ -2.6), (-3.2/ 0.1/ -2.9), (-3.3/ 0.1/ -2.7), (-3.5/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,278.2979
Sad,(-3.3/ 1.0/ -3.3), (-3.7/ 1.0/ -2.7), (-3.1/ 0.1/ -2.7), (-3.3/ 0.1/ -2.7), (-3.4/ 1.4/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,272.171
Sad,(-3.1/ 1.0/ -3.2), (-3.4/ 1.0/ -2.7), (-3.1/ 0.1/ -2.7), (-3.3/ 0.1/ -2.7), (-3.1/ 1.5/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,261.3162
Sad,(-3.2/ 1.1/ -3.2), (-3.4/ 1.1/ -2.6), (-3.1/ 0.1/ -2.7), (-3.2/ 0.1/ -2.6), (-3.1/ 1.5/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,259.1603
Sad,(-3.2/ 1.0/ -3.2), (-3.6/ 1.0/ -2.6), (-3.1/ 0.1/ -2.7), (-3.3/ 0.1/ -2.6), (-3.3/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.9637
Sad,(-3.5/ 1.0/ -3.2), (-3.8/ 1.0/ -2.6), (-3.5/ 0.1/ -2.9), (-3.3/ 0.1/ -2.6), (-3.5/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,278.8009
Sad,(-3.8/ 1.0/ -3.2), (-3.9/ 1.0/ -2.5), (-3.8/ 0.1/ -2.8), (-3.3/ 0.1/ -2.6), (-3.6/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,286.4273
Sad,(-4.0/ 1.1/ -3.3), (-4.1/ 1.1/ -2.5), (-3.8/ 0.1/ -2.8), (-3.7/ 0.2/ -2.6), (-3.8/ 1.5/ -2.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,299.6677
Sad,(-3.8/ 1.1/ -3.2), (-4.1/ 1.0/ -2.7), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.8/ 1.5/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,299.4727
Sad,(-3.8/ 1.1/ -3.1), (-4.2/ 1.0/ -2.7), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.9/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,299.4051
Sad,(-3.7/ 1.1/ -3.0), (-4.2/ 0.9/ -2.8), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.9/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,298.0439
Sad,(-3.7/ 1.1/ -3.1), (-4.1/ 0.9/ -2.8), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.9/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,297.4269
Sad,(-3.8/ 1.1/ -3.2), (-4.2/ 1.0/ -2.7), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.9/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,300.0301
Sad,(-4.0/ 1.1/ -3.2), (-4.2/ 1.1/ -2.6), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.8/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,300.8082
Sad,(-4.0/ 1.1/ -3.1), (-4.1/ 1.1/ -2.5), (-3.8/ 0.1/ -2.8), (-3.8/ 0.1/ -2.5), (-3.8/ 1.4/ -2.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,298.8393
