Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(1.3/ 1.1/ -0.8), (1.4/ 1.0/ -0.6), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.87766
Sad,(1.3/ 1.1/ -0.8), (1.4/ 1.0/ -0.5), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.00842
Sad,(1.3/ 1.1/ -0.8), (1.4/ 0.9/ -0.6), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.55891
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(1.3/ 1.4/ -0.5), (1.5/ 0.9/ -0.4), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.86622
Sad,(1.3/ 1.4/ -0.5), (1.5/ 0.9/ -0.4), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.96724
Sad,(1.4/ 1.2/ -0.7), (1.5/ 0.9/ -0.5), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.25362
Sad,(1.4/ 1.1/ -0.7), (1.5/ 1.0/ -0.5), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.3), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.99928
Sad,(1.4/ 1.1/ -0.7), (1.5/ 1.0/ -0.5), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.3), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.92896
Sad,(1.4/ 1.1/ -0.7), (1.4/ 1.0/ -0.5), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.3), (1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.81233
Sad,(1.4/ 1.1/ -0.7), (1.5/ 1.0/ -0.5), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.3), (1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.32273
Sad,(1.4/ 1.1/ -0.7), (1.5/ 1.0/ -0.6), (1.5/ 0.1/ -0.5), (1.3/ 0.1/ -0.3), (1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.58157
Sad,(1.5/ 1.1/ -0.7), (1.5/ 1.0/ -0.6), (1.5/ 0.1/ -0.5), (1.5/ 0.1/ -0.4), (1.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.31938
Sad,(1.5/ 1.1/ -0.6), (1.5/ 1.0/ -0.5), (1.5/ 0.1/ -0.5), (1.5/ 0.1/ -0.4), (1.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.09354
Sad,(1.5/ 1.1/ -0.7), (1.5/ 1.0/ -0.5), (1.7/ 0.1/ -0.6), (1.5/ 0.1/ -0.4), (1.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.22433
Sad,(1.6/ 1.1/ -0.7), (1.6/ 1.0/ -0.6), (1.7/ 0.1/ -0.6), (1.5/ 0.1/ -0.4), (1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.45844
Sad,(1.6/ 1.1/ -0.8), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.91805
Sad,(1.6/ 1.1/ -0.8), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.43376
Sad,(1.6/ 1.1/ -0.8), (1.7/ 1.0/ -0.8), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.76689
Sad,(1.7/ 1.1/ -0.8), (1.7/ 1.0/ -0.8), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.7/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,91.65955
Sad,(1.7/ 1.1/ -0.8), (1.7/ 1.0/ -0.8), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,91.60725
Sad,(1.6/ 1.2/ -0.8), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.6), (1.6/ 0.1/ -0.5), (1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.70986
Sad,(1.6/ 1.2/ -0.8), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.6/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.42289
Sad,(1.7/ 1.2/ -0.9), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.30402
Sad,(1.7/ 1.1/ -0.9), (1.7/ 1.0/ -0.7), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.99174
Sad,(1.7/ 1.1/ -0.9), (1.8/ 1.0/ -0.8), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.39976
Sad,(1.7/ 1.1/ -0.9), (1.8/ 1.0/ -0.8), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.7549
Sad,(1.8/ 1.2/ -0.9), (1.8/ 1.0/ -0.8), (1.7/ 0.1/ -0.7), (1.6/ 0.1/ -0.5), (1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.81833
Sad,(1.8/ 1.2/ -0.9), (1.8/ 1.0/ -0.8), (1.7/ 0.1/ -0.7), (1.7/ 0.1/ -0.6), (1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.05354
Sad,(1.8/ 1.2/ -0.9), (1.8/ 1.0/ -0.8), (1.9/ 0.1/ -0.9), (1.7/ 0.1/ -0.6), (1.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.4259
Sad,(1.8/ 1.2/ -1.0), (1.9/ 0.9/ -0.9), (1.9/ 0.1/ -0.9), (1.8/ 0.1/ -0.7), (1.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.9652
Sad,(1.9/ 1.1/ -1.1), (1.9/ 1.0/ -1.0), (1.9/ 0.1/ -0.9), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.1967
Sad,(1.9/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.2645
Sad,(1.9/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.9383
Sad,(1.9/ 1.1/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.544
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.1608
Sad,(1.9/ 1.2/ -1.2), (2.0/ 0.9/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.4061
Sad,(2.1/ 1.1/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.9737
Sad,(2.0/ 1.1/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.707
Sad,(2.0/ 1.1/ -1.2), (2.0/ 1.0/ -1.1), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.6249
Sad,(2.0/ 1.1/ -1.2), (2.0/ 1.0/ -1.1), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9296
Sad,(1.9/ 1.1/ -1.2), (1.9/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.1478
Sad,(2.0/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.2436
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9156
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9094
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.0276
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.8799
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.2476
Sad,(2.0/ 1.2/ -1.2), (2.0/ 0.9/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.1604
Sad,(2.1/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.5203
Sad,(2.1/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.9977
Sad,(2.0/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.6862
Sad,(2.0/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.4521
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -1.0), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.0716
Sad,(2.0/ 1.2/ -1.2), (2.0/ 0.9/ -1.0), (2.0/ 0.1/ -0.9), (1.9/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.4537
Sad,(2.1/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (1.9/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.3927
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.425
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.0042
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -0.9), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.2065
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -0.9), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.2173
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.1364
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.6856
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.1413
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.1516
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.0721
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.9041
