Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.0/ 1.2/ -1.9), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.6552
Sad,(0.0/ 1.2/ -1.8), (0.0/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.621
Sad,(0.0/ 1.3/ -1.9), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.7248
Sad,(0.0/ 1.2/ -1.8), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.3336
Sad,(0.0/ 1.2/ -1.9), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.3047
Sad,(0.0/ 1.2/ -1.9), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.0201
Sad,(0.0/ 1.2/ -1.9), (0.0/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.509
Sad,(-0.1/ 1.2/ -1.9), (0.1/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.2/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.8673
Sad,(-0.1/ 1.2/ -1.9), (0.1/ 1.1/ -2.0), (-0.2/ 0.1/ -1.8), (-0.4/ 0.1/ -2.1), (-0.2/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.9866
Sad,(-0.1/ 1.2/ -1.7), (0.1/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.4/ 0.1/ -2.1), (-0.2/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.8359
Sad,(0.0/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.70168
Sad,(0.0/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.14179
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.54419
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.62999

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.0413
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.1628
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.93669
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.75468
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.2/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.71012
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.2/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.129
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.1774
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.4654
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.9549
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.0939
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -2.0), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.1538
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -2.0), (-0.1/ 0.1/ -1.8), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.8245
Sad,(0.1/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.3/ 0.1/ -1.9), (-0.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.4221
Sad,(0.1/ 1.2/ -1.6), (0.2/ 1.1/ -1.8), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.9), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.43719
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.8), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.9566
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.8), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.874
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.8), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.95603
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.78748
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.08115
Sad,(0.2/ 1.2/ -1.6), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (0.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.94511
Sad,(0.2/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (0.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,97.00139
Sad,(0.2/ 1.2/ -1.7), (0.2/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (-0.1/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.61559
Sad,(0.2/ 1.2/ -1.6), (0.3/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (0.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.38547
Sad,(0.2/ 1.2/ -1.6), (0.3/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (0.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.28884
Sad,(0.2/ 1.2/ -1.6), (0.3/ 1.1/ -1.9), (0.0/ 0.1/ -1.6), (-0.2/ 0.1/ -1.8), (0.0/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.84458
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 74,42 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 62,18167 %
No se ha detectado ninguna palabra
