Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.40139
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.43699
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.99982
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.20062
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.12952
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.14859
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.03988
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.94319
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.80806
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.72864
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.60319
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.53578
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.44276
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.52907
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.73516
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.7618
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.64432
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.63924
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.71297
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.71754
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.81299
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.60656
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.63217
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.58737
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.61086
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 0.9/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.61153
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.97205
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.68188
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.2632
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.2957
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.26602
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.32482
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.31557
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.38441
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.60375
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.73688
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.93482
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.11796
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.2), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.51492
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.37618
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.97775
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.22804
