Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.3/ 1.2/ -0.5), (-2.2/ 1.1/ 0.2), (-2.0/ 0.1/ -0.1), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.5926
Sad,(-2.3/ 1.2/ -0.5), (-2.2/ 1.2/ 0.2), (-2.0/ 0.1/ -0.1), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.5775
Sad,(-2.3/ 1.2/ -0.5), (-2.3/ 1.1/ 0.1), (-2.0/ 0.1/ -0.1), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.0821
Sad,(-2.1/ 1.1/ -0.5), (-2.4/ 1.1/ 0.1), (-2.0/ 0.1/ 0.0), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.2665
Sad,(-1.8/ 1.1/ -0.3), (-2.4/ 1.1/ -0.1), (-2.0/ 0.1/ 0.0), (-1.7/ 0.1/ -0.2), (-2.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.1885
Sad,(-1.5/ 1.1/ -0.3), (-2.2/ 1.1/ -0.3), (-2.0/ 0.1/ 0.0), (-1.6/ 0.1/ -0.2), (-1.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.6298
Sad,(-1.4/ 1.1/ -0.5), (-2.1/ 1.1/ -0.4), (-1.7/ 0.1/ -0.3), (-1.6/ 0.1/ -0.2), (-1.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.33484
Sad,(-1.4/ 1.2/ -0.8), (-2.0/ 1.1/ -0.7), (-1.6/ 0.1/ -0.5), (-1.6/ 0.2/ -0.3), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.56017
Sad,(-1.3/ 1.1/ -1.1), (-1.9/ 1.1/ -0.8), (-1.6/ 0.1/ -0.5), (-1.3/ 0.1/ -1.0), (-1.5/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.23207
Sad,(-1.3/ 1.2/ -1.3), (-1.8/ 1.1/ -0.9), (-1.4/ 0.2/ -0.9), (-1.3/ 0.1/ -1.0), (-1.4/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.55813
Sad,(-1.4/ 1.2/ -1.6), (-1.8/ 1.1/ -1.1), (-1.4/ 0.1/ -1.3), (-1.3/ 0.1/ -1.0), (-1.4/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.80727
Sad,(-1.5/ 1.1/ -1.7), (-1.8/ 1.1/ -1.1), (-1.4/ 0.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.9672
Sad,(-1.7/ 1.2/ -1.9), (-1.7/ 1.2/ -1.2), (-1.4/ 0.1/ -1.3), (-1.5/ 0.1/ -1.7), (-1.6/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.3166
Sad,(-1.8/ 1.2/ -2.0), (-1.7/ 1.2/ -1.3), (-1.6/ 0.1/ -1.6), (-1.5/ 0.1/ -1.7), (-1.6/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.7719
Sad,(-2.0/ 1.2/ -2.0), (-1.8/ 1.2/ -1.4), (-1.8/ 0.1/ -1.8), (-1.5/ 0.1/ -1.7), (-1.7/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.9832
Sad,(-2.1/ 1.1/ -2.1), (-1.9/ 1.1/ -1.4), (-1.8/ 0.1/ -1.8), (-1.8/ 0.1/ -2.0), (-1.9/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,141.8213
