Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.4/ 1.2/ -0.9), (0.0/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.20921
Sad,(0.3/ 1.1/ -0.7), (0.1/ 1.1/ 0.0), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.3), (0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.91803
Sad,(0.3/ 1.1/ -0.7), (0.1/ 1.1/ -0.1), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.3), (0.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.382
Sad,(0.4/ 1.1/ -0.7), (0.0/ 1.1/ -0.3), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.3), (0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.87827
Sad,(0.7/ 1.1/ -0.8), (0.1/ 1.1/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.02752
Sad,(0.7/ 1.1/ -0.8), (0.1/ 1.1/ -0.6), (0.5/ 0.1/ -0.5), (0.5/ 0.1/ -0.8), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.73817
Sad,(0.7/ 1.1/ -0.9), (0.1/ 1.0/ -0.8), (0.5/ 0.2/ -0.6), (0.5/ 0.1/ -0.9), (0.5/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.41946
Sad,(0.6/ 1.1/ -0.7), (0.0/ 1.0/ -0.6), (0.5/ 0.1/ -0.6), (0.4/ 0.1/ -0.5), (0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.79295
Sad,(0.6/ 1.1/ -0.7), (0.0/ 1.0/ -0.6), (0.5/ 0.1/ -0.6), (0.4/ 0.1/ -0.5), (0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.59626
Sad,(0.6/ 1.1/ -1.3), (0.3/ 1.1/ -0.3), (0.5/ 0.1/ -0.8), (0.4/ 0.1/ -0.7), (0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.34538
Sad,(0.6/ 0.8/ -1.0), (0.4/ 0.9/ -0.4), (0.5/ 0.1/ -0.8), (0.4/ 0.1/ -0.7), (0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.72422
Sad,(0.7/ 0.8/ -1.0), (0.4/ 0.9/ -0.5), (0.5/ 0.1/ -0.8), (0.4/ 0.1/ -0.7), (0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.21267
Sad,(0.6/ 0.8/ -1.0), (0.3/ 0.9/ -0.6), (0.5/ 0.1/ -0.8), (0.4/ 0.1/ -0.7), (0.4/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.68579
Sad,(0.7/ 0.8/ -1.0), (0.3/ 0.9/ -0.7), (0.5/ 0.1/ -0.8), (0.4/ 0.1/ -0.8), (0.5/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.346
Sad,(0.7/ 0.8/ -1.1), (0.2/ 0.9/ -0.8), (0.5/ 0.1/ -0.8), (0.3/ 0.1/ -1.1), (0.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.1851
Sad,(0.5/ 1.0/ -1.5), (0.0/ 1.0/ -1.0), (0.5/ 0.1/ -1.1), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.8248
Sad,(0.1/ 1.0/ -1.5), (0.1/ 1.1/ -0.9), (0.5/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.60104
Sad,(0.1/ 1.1/ -1.4), (0.1/ 1.1/ -0.9), (0.5/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.74472
Sad,(0.1/ 1.1/ -1.3), (0.1/ 1.1/ -0.9), (0.5/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.2682
Sad,(0.3/ 1.1/ -1.5), (0.0/ 1.1/ -1.0), (0.5/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.6541
Sad,(0.3/ 1.1/ -1.5), (0.0/ 1.1/ -1.1), (0.4/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.19518
Sad,(0.5/ 1.1/ -1.5), (0.1/ 1.1/ -1.1), (0.7/ 0.1/ -1.2), (0.3/ 0.1/ -1.2), (0.4/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.63845
Sad,(0.7/ 1.1/ -1.5), (0.2/ 1.1/ -1.2), (0.6/ 0.1/ -1.2), (0.4/ 0.1/ -1.2), (0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.54827
Sad,(0.7/ 1.1/ -1.5), (0.3/ 1.0/ -1.1), (0.6/ 0.1/ -1.2), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.51039
Sad,(0.6/ 1.1/ -1.5), (0.3/ 1.1/ -1.1), (0.6/ 0.1/ -1.2), (0.6/ 0.1/ -1.2), (0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.11392
Sad,(0.5/ 1.1/ -1.5), (0.3/ 1.1/ -0.9), (0.6/ 0.1/ -1.2), (0.5/ 0.1/ -1.0), (0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.52499
Sad,(0.2/ 1.1/ -1.3), (0.3/ 1.2/ -0.7), (0.6/ 0.1/ -1.2), (0.5/ 0.1/ -1.0), (0.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.26563
Sad,(0.1/ 1.1/ -1.2), (0.2/ 1.2/ -0.6), (0.1/ 0.1/ -1.0), (0.5/ 0.1/ -1.0), (0.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.96465
Sad,(-0.1/ 1.1/ -1.2), (0.0/ 1.2/ -0.6), (0.1/ 0.1/ -1.0), (0.4/ 0.1/ -1.0), (0.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.50783
Sad,(-0.1/ 1.1/ -1.3), (-0.2/ 1.1/ -0.7), (0.1/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.34764
Sad,(-0.1/ 1.1/ -1.4), (-0.4/ 1.1/ -0.9), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.10536
Sad,(0.0/ 1.1/ -1.3), (-0.5/ 1.0/ -1.0), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.34979
Sad,(0.0/ 1.1/ -1.3), (-0.5/ 1.0/ -1.0), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.48266
Sad,(-0.1/ 1.1/ -1.3), (-0.4/ 1.1/ -0.9), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.153
Sad,(-0.3/ 1.1/ -1.3), (-0.3/ 1.1/ -0.7), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.98271
Sad,(-0.3/ 1.1/ -1.2), (-0.4/ 1.1/ -0.6), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.5045
Sad,(-0.2/ 1.1/ -1.2), (-0.4/ 1.1/ -0.7), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.50555
Sad,(-0.2/ 1.1/ -1.2), (-0.4/ 1.1/ -0.7), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -0.9), (-0.1/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.2632
Sad,(-0.1/ 1.1/ -1.3), (-0.5/ 1.1/ -0.7), (0.0/ 0.1/ -1.0), (-0.1/ 0.1/ -0.9), (-0.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.45991
Sad,(0.0/ 1.1/ -1.3), (-0.4/ 1.1/ -0.9), (0.1/ 0.1/ -1.1), (-0.1/ 0.1/ -1.0), (-0.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.3296
Sad,(0.2/ 1.1/ -1.4), (-0.3/ 1.1/ -1.1), (0.2/ 0.1/ -1.1), (-0.1/ 0.1/ -1.0), (0.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.00203
Sad,(0.5/ 1.1/ -1.3), (-0.2/ 1.0/ -1.2), (0.2/ 0.1/ -1.1), (0.2/ 0.1/ -1.4), (0.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.85521
Sad,(0.5/ 1.1/ -1.5), (-0.1/ 1.0/ -1.4), (0.2/ 0.1/ -1.1), (0.3/ 0.1/ -1.5), (0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.64429
Sad,(0.5/ 1.1/ -1.7), (-0.1/ 1.1/ -1.5), (0.3/ 0.1/ -1.3), (0.3/ 0.1/ -1.5), (0.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.53683
Sad,(0.4/ 1.1/ -1.8), (0.0/ 1.1/ -1.3), (0.5/ 0.1/ -1.3), (0.3/ 0.1/ -1.5), (0.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.64026
Sad,(0.4/ 1.1/ -1.7), (0.1/ 1.1/ -1.2), (0.5/ 0.1/ -1.3), (0.3/ 0.1/ -1.5), (0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.07619
Sad,(0.5/ 1.1/ -1.7), (0.2/ 1.1/ -1.1), (0.5/ 0.1/ -1.3), (0.5/ 0.1/ -1.3), (0.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.24018
Sad,(0.5/ 1.1/ -1.7), (0.2/ 1.1/ -1.1), (0.5/ 0.1/ -1.3), (0.5/ 0.1/ -1.3), (0.6/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.12824
Sad,(0.4/ 1.1/ -1.7), (0.2/ 1.1/ -1.0), (0.5/ 0.1/ -1.3), (0.5/ 0.1/ -1.3), (0.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.64378
Sad,(0.4/ 1.1/ -1.6), (0.3/ 1.1/ -1.0), (0.5/ 0.1/ -1.3), (0.5/ 0.1/ -1.3), (0.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.76004
Sad,(0.4/ 1.1/ -1.7), (0.3/ 1.1/ -1.0), (0.5/ 0.1/ -1.3), (0.3/ 0.1/ -1.3), (0.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.02621
Sad,(0.2/ 1.1/ -1.6), (0.1/ 1.1/ -1.0), (0.5/ 0.1/ -1.3), (0.1/ 0.1/ -1.3), (0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.54018
Sad,(0.0/ 1.1/ -1.6), (0.0/ 1.1/ -0.9), (0.4/ 0.1/ -1.3), (0.1/ 0.1/ -1.3), (0.1/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.09293
Sad,(-0.3/ 1.1/ -1.5), (0.0/ 1.1/ -0.9), (-0.2/ 0.1/ -1.2), (0.1/ 0.1/ -1.3), (-0.1/ 1.4/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.37722
Sad,(-0.7/ 1.1/ -1.4), (-0.2/ 1.2/ -0.9), (-0.2/ 0.1/ -1.2), (-0.3/ 0.1/ -1.2), (-0.4/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.67311
Sad,(-0.8/ 1.1/ -1.4), (-0.4/ 1.2/ -0.8), (-0.2/ 0.1/ -1.2), (-0.8/ 0.1/ -1.1), (-0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.1687
Sad,(-1.1/ 1.1/ -1.2), (-0.6/ 1.2/ -0.6), (-0.5/ 0.2/ -1.2), (-0.9/ 0.1/ -1.1), (-0.8/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.91681
Sad,(-1.4/ 1.1/ -0.9), (-0.8/ 1.1/ -0.6), (-1.1/ 0.1/ -0.7), (-0.9/ 0.1/ -1.0), (-1.1/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.74577
Sad,(-1.6/ 1.1/ -0.8), (-1.1/ 1.2/ -0.3), (-1.1/ 0.1/ -0.7), (-1.3/ 0.1/ -0.5), (-1.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.59973
Sad,(-1.6/ 1.1/ -0.8), (-1.4/ 1.1/ -0.1), (-1.1/ 0.1/ -0.7), (-1.4/ 0.1/ -0.4), (-1.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.06265
Sad,(-1.5/ 1.1/ -0.8), (-1.5/ 1.1/ 0.0), (-1.2/ 0.1/ -0.5), (-1.4/ 0.1/ -0.4), (-1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.92783
Sad,(-1.4/ 1.1/ -0.8), (-1.7/ 1.1/ -0.1), (-1.2/ 0.1/ -0.5), (-1.4/ 0.1/ -0.5), (-1.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.28735
Sad,(-1.4/ 1.1/ -0.8), (-1.6/ 1.1/ -0.1), (-1.3/ 0.1/ -0.5), (-1.4/ 0.1/ -0.5), (-1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.31845
Sad,(-1.3/ 1.1/ -0.9), (-1.7/ 1.0/ -0.3), (-1.3/ 0.1/ -0.5), (-1.4/ 0.1/ -0.5), (-1.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.65539
Sad,(-0.8/ 1.1/ -0.8), (-1.6/ 1.0/ -0.7), (-1.3/ 0.1/ -0.5), (-1.2/ 0.1/ -0.8), (-1.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.96343
Sad,(-0.7/ 1.1/ -0.8), (-1.4/ 1.0/ -1.0), (-1.3/ 0.1/ -0.5), (-1.0/ 0.1/ -1.0), (-1.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.9028
Sad,(-0.6/ 1.1/ -1.0), (-1.3/ 1.0/ -1.2), (-1.1/ 0.1/ -0.8), (-0.9/ 0.1/ -1.0), (-1.0/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.1724
Sad,(-0.5/ 1.1/ -1.2), (-1.3/ 1.0/ -1.2), (-0.7/ 0.1/ -1.0), (-0.9/ 0.1/ -1.0), (-0.9/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.83451
Sad,(-0.5/ 1.1/ -1.4), (-1.0/ 1.0/ -0.9), (-0.7/ 0.1/ -1.0), (-0.9/ 0.1/ -1.0), (-0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.82524
Sad,(-0.5/ 1.1/ -1.5), (-1.0/ 1.0/ -0.9), (-0.7/ 0.1/ -1.0), (-0.7/ 0.1/ -1.2), (-0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.68814
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.1/ 1.1/ -1.6), (-0.3/ 1.1/ -1.1), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.4), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.29332
Sad,(-0.1/ 1.1/ -1.6), (-0.3/ 1.1/ -1.1), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.4), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.34672
Sad,(-0.2/ 1.1/ -1.5), (-0.2/ 1.1/ -1.0), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.4), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.28149
Sad,(-0.4/ 1.1/ -1.5), (-0.2/ 1.1/ -1.0), (-0.3/ 0.1/ -1.1), (-0.5/ 0.1/ -1.2), (-0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.75641
Sad,(-0.6/ 1.1/ -1.4), (-0.3/ 1.1/ -1.0), (-0.3/ 0.1/ -1.1), (-0.5/ 0.1/ -1.2), (-0.5/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.98662
Sad,(-0.8/ 1.1/ -1.2), (-0.3/ 1.1/ -1.1), (-0.6/ 0.1/ -1.0), (-0.5/ 0.1/ -1.2), (-0.5/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.20656
Sad,(-0.9/ 1.1/ -1.1), (-0.4/ 1.1/ -1.1), (-0.7/ 0.1/ -0.9), (-0.5/ 0.1/ -1.2), (-0.7/ 1.4/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.67589
Sad,(-1.2/ 1.1/ -1.0), (-0.6/ 1.1/ -1.1), (-0.7/ 0.1/ -0.9), (-0.7/ 0.2/ -1.1), (-0.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.65853
Sad,(-1.1/ 1.1/ -1.2), (-0.7/ 1.1/ -0.9), (-0.7/ 0.1/ -0.9), (-1.1/ 0.1/ -0.8), (-0.9/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.87906
Sad,(-1.1/ 1.1/ -1.1), (-0.9/ 1.1/ -0.7), (-0.8/ 0.1/ -0.8), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.77123
Sad,(-1.1/ 1.1/ -1.1), (-0.9/ 1.1/ -0.7), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.75264
Sad,(-0.9/ 1.1/ -1.1), (-0.9/ 1.1/ -0.6), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.30364
Sad,(-0.9/ 1.1/ -1.0), (-0.9/ 1.1/ -0.6), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.36436
Sad,(-0.9/ 1.1/ -1.0), (-0.9/ 1.1/ -0.6), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.28072
Sad,(-1.3/ 1.1/ -1.0), (-1.0/ 1.1/ -0.8), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.58157
Sad,(-1.2/ 1.1/ -1.0), (-1.0/ 1.2/ -0.7), (-1.0/ 0.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.8989
Sad,(-0.9/ 1.1/ -1.0), (-0.9/ 1.1/ -0.6), (-1.0/ 0.1/ -0.8), (-1.0/ 0.1/ -0.8), (-1.0/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.60553
Sad,(-0.7/ 1.1/ -1.2), (-0.8/ 1.1/ -0.8), (-1.0/ 0.1/ -0.8), (-1.0/ 0.1/ -0.8), (-0.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.26357
Sad,(-0.4/ 1.1/ -1.0), (-0.7/ 1.0/ -0.9), (-1.0/ 0.1/ -0.8), (-0.5/ 0.1/ -1.2), (-0.7/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.58141
Sad,(-0.2/ 1.1/ -1.2), (-0.6/ 1.0/ -1.0), (-0.9/ 0.2/ -0.9), (-0.4/ 0.1/ -1.2), (-0.6/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.69395
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.2/ 1.1/ -1.4), (-0.4/ 1.1/ -1.1), (-0.3/ 0.1/ -1.2), (-0.4/ 0.1/ -1.2), (-0.5/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.17345
Sad,(0.0/ 1.1/ -1.6), (-0.2/ 1.0/ -1.2), (-0.3/ 0.1/ -1.1), (-0.4/ 0.1/ -1.3), (-0.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.11075
Sad,(-0.1/ 1.1/ -1.6), (-0.2/ 1.1/ -1.2), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.97274
Sad,(-0.2/ 1.1/ -1.6), (-0.2/ 1.1/ -1.2), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.47302
Sad,(-0.1/ 1.1/ -1.6), (-0.2/ 1.0/ -1.2), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.42316
Sad,(0.0/ 1.1/ -1.5), (-0.2/ 1.1/ -1.2), (-0.3/ 0.1/ -1.1), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.2328
