Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.4/ 1.2/ -0.9), (0.0/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.20921
Sad,(0.4/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.16579
Sad,(0.5/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.10311
Sad,(0.5/ 1.1/ -0.9), (0.1/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.3726
Sad,(0.5/ 1.1/ -0.9), (0.1/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.76033
Sad,(0.5/ 1.1/ -0.9), (0.1/ 1.2/ -0.5), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.86745
Sad,(0.6/ 1.1/ -0.9), (0.1/ 1.1/ -0.6), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.62699
Sad,(0.6/ 1.1/ -0.9), (0.1/ 1.1/ -0.6), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.66694
Sad,(0.5/ 1.1/ -0.9), (0.1/ 1.1/ -0.4), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.98625
Sad,(0.4/ 1.1/ -0.9), (0.4/ 1.2/ -0.1), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.5), (0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.80303
Sad,(0.3/ 1.1/ -0.7), (0.3/ 1.2/ -0.1), (0.5/ 0.1/ -0.5), (0.4/ 0.1/ -0.3), (0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,22.92485
