Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.4/ 1.1/ -0.4), (-0.4/ 1.1/ -0.6), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.7), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.31923
Sad,(-0.4/ 1.1/ -0.4), (-0.5/ 1.1/ -0.6), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.7), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.53466
Sad,(-0.4/ 1.1/ -0.4), (-0.4/ 1.1/ -0.6), (-0.5/ 0.1/ -0.6), (-0.5/ 0.1/ -0.7), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.31369
Sad,(-0.5/ 1.1/ -0.3), (-0.4/ 1.1/ -0.6), (-0.5/ 0.1/ -0.5), (-0.5/ 0.1/ -0.7), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.92381
Sad,(-0.6/ 1.1/ -0.3), (-0.5/ 1.1/ -0.6), (-0.5/ 0.1/ -0.5), (-0.4/ 0.1/ -0.7), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.10737
Sad,(-0.6/ 1.1/ -0.5), (-0.4/ 1.1/ -0.6), (-0.5/ 0.1/ -0.5), (-0.4/ 0.1/ -0.7), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,22.22288
Sad,(-0.7/ 1.1/ -0.6), (-0.5/ 1.1/ -0.6), (-0.6/ 0.1/ -0.6), (-0.4/ 0.1/ -0.7), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,22.48966
Sad,(-0.8/ 1.1/ -0.7), (-0.6/ 1.1/ -0.7), (-0.6/ 0.1/ -0.6), (-0.4/ 0.1/ -0.7), (-0.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.68328
Sad,(-0.8/ 1.1/ -0.7), (-0.6/ 1.1/ -0.7), (-0.6/ 0.1/ -0.6), (-0.5/ 0.1/ -0.6), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.1817
Sad,(-0.8/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.6/ 0.1/ -0.7), (-0.5/ 0.1/ -0.6), (-0.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.12472
Sad,(-0.7/ 1.1/ -0.9), (-0.6/ 1.1/ -0.7), (-0.6/ 0.1/ -0.7), (-0.5/ 0.1/ -0.6), (-0.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.05648
