Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Surprised,(-0.6/ 1.2/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.62959
Surprised,(-0.6/ 1.2/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.94593
Surprised,(-0.5/ 1.4/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.29952
Surprised,(-0.5/ 1.4/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.64827
Surprised,(-0.5/ 1.3/ 0.0), (-0.7/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.39525
Surprised,(-0.6/ 1.2/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.74459
Surprised,(-0.5/ 1.3/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.26427
Surprised,(-0.5/ 1.3/ 0.0), (-0.8/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.35181
Surprised,(-0.5/ 1.4/ 0.0), (-0.8/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.27146
Surprised,(-0.5/ 1.3/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.98166
Surprised,(-0.5/ 1.3/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.7624
Fearful,(-0.5/ 1.0/ 0.1), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.17657
