Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-4.2/ 1.1/ -3.5), (-4.3/ 1.1/ -2.9), (-4.0/ 0.1/ -3.3), (-3.8/ 0.1/ -3.0), (-3.9/ 1.4/ -3.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,324.9727
Sad,(-4.0/ 1.1/ -3.6), (-4.2/ 1.0/ -2.9), (-4.0/ 0.1/ -3.2), (-3.8/ 0.1/ -2.9), (-3.9/ 1.4/ -3.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,321.0034
Sad,(-3.8/ 1.0/ -3.5), (-4.3/ 1.0/ -3.0), (-4.0/ 0.1/ -3.3), (-3.8/ 0.1/ -2.9), (-4.0/ 1.4/ -3.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,321.3381
Sad,(-4.0/ 1.1/ -3.5), (-4.3/ 1.0/ -2.9), (-4.1/ 0.1/ -3.2), (-3.8/ 0.1/ -2.9), (-4.0/ 1.4/ -3.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,324.7129
Sad,(-4.2/ 1.0/ -3.7), (-4.5/ 1.0/ -3.1), (-4.3/ 0.1/ -3.2), (-3.8/ 0.2/ -2.9), (-4.2/ 1.4/ -3.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,338.5063
Sad,(-4.2/ 1.0/ -3.8), (-4.7/ 1.0/ -3.4), (-4.3/ 0.1/ -3.3), (-4.6/ 0.1/ -3.2), (-4.3/ 1.4/ -3.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,356.7357
Sad,(-4.3/ 1.0/ -3.8), (-5.0/ 1.0/ -3.6), (-4.5/ 0.2/ -3.3), (-4.8/ 0.1/ -3.3), (-4.6/ 1.4/ -3.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,374.3734
Sad,(-4.3/ 1.0/ -3.8), (-4.8/ 1.0/ -4.0), (-4.8/ 0.1/ -3.9), (-4.8/ 0.1/ -3.3), (-4.6/ 1.4/ -3.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,386.2108
Sad,(-4.3/ 1.0/ -4.1), (-4.9/ 1.0/ -4.2), (-4.8/ 0.1/ -3.9), (-5.0/ 0.2/ -3.7), (-4.7/ 1.4/ -3.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,398.8917
Sad,(-4.4/ 1.0/ -4.0), (-4.8/ 0.9/ -4.5), (-4.8/ 0.1/ -3.9), (-5.0/ 0.1/ -4.2), (-4.7/ 1.4/ -4.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,409.2596
Sad,(-4.4/ 1.0/ -4.0), (-4.7/ 0.9/ -4.5), (-4.8/ 0.1/ -4.1), (-5.0/ 0.1/ -4.2), (-4.7/ 1.4/ -4.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,408.027
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 0.9/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,403.2751
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 1.0/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,402.0023
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 1.0/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,402.7767
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 1.0/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,402.7767
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 1.0/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,402.7767
Sad,(-4.3/ 1.0/ -4.0), (-4.7/ 1.0/ -4.4), (-4.7/ 0.1/ -4.0), (-5.0/ 0.1/ -4.2), (-4.6/ 1.4/ -4.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,402.7767
