Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.4/ 1.0/ -0.6), (-1.3/ 1.1/ -0.4), (-1.2/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.50626
Sad,(-1.3/ 1.0/ -0.5), (-1.3/ 1.0/ -0.3), (-1.1/ 0.1/ -0.4), (-1.3/ 0.1/ -0.3), (-1.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.11893
Sad,(-1.3/ 1.0/ -0.6), (-1.3/ 1.0/ -0.4), (-1.1/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.96968
Sad,(-1.2/ 1.0/ -0.8), (-1.2/ 1.1/ -0.6), (-1.1/ 0.1/ -0.5), (-1.3/ 0.1/ -0.5), (-1.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.77721
Sad,(-1.3/ 1.0/ -0.9), (-1.4/ 1.1/ -0.8), (-1.1/ 0.1/ -0.5), (-1.4/ 0.1/ -0.8), (-1.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.85848
Sad,(-1.5/ 1.0/ -1.0), (-1.5/ 1.1/ -0.8), (-1.1/ 0.1/ -0.8), (-1.4/ 0.1/ -0.8), (-1.4/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.08899
Sad,(-1.5/ 1.0/ -1.1), (-1.4/ 1.1/ -0.9), (-1.1/ 0.1/ -1.0), (-1.4/ 0.1/ -0.8), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.00858
Sad,(-1.4/ 1.1/ -1.2), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.56104
Sad,(-1.4/ 1.1/ -1.3), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.94907
Sad,(-1.3/ 1.0/ -1.3), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.10757
Sad,(-1.3/ 1.0/ -1.2), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.43047
Sad,(-1.3/ 1.1/ -1.3), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.56158
Sad,(-1.3/ 1.1/ -1.3), (-1.3/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.67985
Sad,(-1.2/ 1.0/ -1.3), (-1.2/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.10103
Sad,(-1.3/ 1.0/ -1.3), (-1.2/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.4/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.83614
Sad,(-1.3/ 1.0/ -1.2), (-1.2/ 1.0/ -1.1), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.2/ 1.4/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.90023
Sad,(-1.5/ 1.1/ -1.3), (-1.4/ 1.1/ -1.0), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.9), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.75333
Sad,(-1.5/ 1.0/ -1.0), (-1.4/ 1.1/ -0.8), (-1.1/ 0.1/ -1.0), (-1.3/ 0.1/ -0.8), (-1.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.0349
