Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.3/ 1.0/ -1.5), (-1.6/ 1.2/ -1.2), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.4/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.48232
Sad,(-1.3/ 1.0/ -1.6), (-1.6/ 1.1/ -1.2), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.65787
Sad,(-1.2/ 1.0/ -1.6), (-1.5/ 1.1/ -1.2), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.89922
Sad,(-1.2/ 1.0/ -1.5), (-1.6/ 1.0/ -1.2), (-1.2/ 0.1/ -1.3), (-1.1/ 0.2/ -1.0), (-1.3/ 1.4/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.37584
Sad,(-1.3/ 1.0/ -1.5), (-1.5/ 1.0/ -1.1), (-1.2/ 0.1/ -1.3), (-1.1/ 0.2/ -1.0), (-1.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.87029
Sad,(-1.3/ 1.0/ -1.5), (-1.4/ 1.0/ -1.1), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.62388
Sad,(-1.4/ 1.0/ -1.4), (-1.4/ 1.0/ -0.9), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.60905
Sad,(-1.5/ 1.0/ -1.3), (-1.3/ 1.1/ -0.8), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.02767
Sad,(-1.5/ 1.0/ -1.1), (-1.3/ 1.1/ -0.6), (-1.2/ 0.1/ -1.2), (-1.1/ 0.1/ -1.0), (-1.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.04083
Sad,(-1.7/ 1.0/ -1.0), (-1.3/ 1.0/ -0.5), (-1.6/ 0.1/ -0.9), (-1.1/ 0.1/ -1.0), (-1.4/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.10254
Sad,(-2.0/ 1.0/ -1.0), (-1.6/ 1.1/ -0.5), (-1.7/ 0.1/ -0.8), (-1.2/ 0.2/ -1.0), (-1.6/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.93964
Sad,(-2.0/ 1.0/ -1.0), (-1.9/ 1.1/ -0.5), (-1.7/ 0.1/ -0.8), (-1.7/ 0.1/ -0.6), (-1.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2148
Sad,(-1.9/ 1.0/ -0.9), (-2.3/ 1.1/ -0.5), (-1.7/ 0.1/ -0.7), (-1.8/ 0.1/ -0.5), (-2.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.5026
Sad,(-1.8/ 1.0/ -0.9), (-2.3/ 1.1/ -0.6), (-1.7/ 0.1/ -0.5), (-1.8/ 0.1/ -0.5), (-1.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.4715
Sad,(-1.7/ 1.1/ -0.9), (-2.0/ 1.1/ -0.4), (-1.6/ 0.1/ -0.5), (-1.8/ 0.1/ -0.5), (-1.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.5513
Sad,(-1.8/ 1.0/ -0.9), (-1.9/ 1.1/ -0.3), (-1.6/ 0.1/ -0.5), (-1.8/ 0.1/ -0.5), (-1.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.6068
Sad,(-1.9/ 1.0/ -0.7), (-1.9/ 1.1/ -0.2), (-1.6/ 0.1/ -0.6), (-1.7/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.99653
Sad,(-2.0/ 1.0/ -0.5), (-1.9/ 1.1/ 0.0), (-1.7/ 0.1/ -0.5), (-1.7/ 0.1/ -0.3), (-1.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7727
Sad,(-2.2/ 1.1/ -0.4), (-1.9/ 1.0/ 0.1), (-2.1/ 0.1/ -0.2), (-1.7/ 0.1/ -0.3), (-1.9/ 1.4/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9139
Sad,(-2.3/ 1.1/ -0.4), (-2.2/ 1.1/ 0.1), (-2.1/ 0.1/ -0.2), (-1.8/ 0.2/ -0.3), (-2.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.7272
Sad,(-2.2/ 1.1/ -0.4), (-2.4/ 1.1/ 0.1), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.973
Sad,(-2.1/ 1.0/ -0.3), (-2.4/ 1.1/ 0.2), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.5181
Sad,(-2.2/ 1.1/ -0.3), (-2.4/ 1.1/ 0.2), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.5057
Sad,(-2.2/ 1.1/ -0.2), (-2.4/ 1.1/ 0.3), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.8221
Sad,(-2.2/ 1.0/ -0.2), (-2.4/ 1.0/ 0.3), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.9883
Sad,(-2.1/ 1.0/ -0.2), (-2.4/ 1.0/ 0.2), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.2/ 1.4/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.0702
Sad,(-2.2/ 1.0/ -0.2), (-2.4/ 1.0/ 0.2), (-2.1/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.2225
Sad,(-2.2/ 1.1/ -0.3), (-2.3/ 1.0/ 0.2), (-2.0/ 0.1/ -0.2), (-2.0/ 0.1/ 0.1), (-2.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.3423
Sad,(-2.1/ 1.0/ -0.4), (-2.2/ 1.0/ 0.1), (-2.0/ 0.1/ -0.2), (-2.0/ 0.1/ 0.0), (-2.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.2685
Sad,(-2.2/ 1.0/ -0.3), (-2.2/ 1.1/ 0.2), (-2.0/ 0.1/ -0.2), (-2.0/ 0.1/ 0.0), (-2.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.4482
Sad,(-2.4/ 1.0/ 0.0), (-2.0/ 1.1/ 0.5), (-2.0/ 0.1/ -0.1), (-2.0/ 0.1/ -0.1), (-2.1/ 1.4/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.3392
Sad,(-2.4/ 1.0/ 0.3), (-1.7/ 1.2/ 0.4), (-2.4/ 0.1/ 0.1), (-2.0/ 0.1/ -0.1), (-2.1/ 1.4/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.7148
Sad,(-2.3/ 1.0/ 0.4), (-1.7/ 1.3/ 0.1), (-2.3/ 0.1/ 0.0), (-2.2/ 0.1/ -0.1), (-2.3/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.778
Sad,(-2.2/ 1.0/ 0.4), (-1.8/ 1.3/ 0.0), (-2.3/ 0.1/ 0.0), (-2.3/ 0.1/ -0.1), (-2.3/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.8471
Sad,(-2.1/ 1.0/ 0.4), (-1.7/ 1.5/ -0.2), (-2.4/ 0.1/ 0.2), (-2.3/ 0.1/ -0.1), (-2.2/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.1391

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.1/ 1.0/ 0.5), (-2.0/ 1.3/ -0.1), (-2.4/ 0.1/ 0.2), (-2.4/ 0.1/ 0.1), (-2.3/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,142.3743
Sad,(-2.2/ 1.0/ 0.5), (-2.1/ 1.3/ 0.0), (-2.4/ 0.1/ 0.2), (-2.7/ 0.1/ 0.1), (-2.4/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.7925
Sad,(-2.4/ 1.0/ 0.3), (-2.1/ 1.2/ 0.1), (-2.4/ 0.1/ 0.2), (-2.7/ 0.1/ 0.1), (-2.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.7839
Sad,(-2.3/ 1.0/ 0.2), (-2.2/ 1.3/ -0.3), (-2.4/ 0.1/ 0.2), (-2.7/ 0.1/ 0.1), (-2.4/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.4397
Sad,(-2.1/ 1.0/ 0.1), (-2.2/ 1.2/ -0.4), (-2.3/ 0.1/ 0.1), (-2.7/ 0.1/ 0.1), (-2.4/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,142.4903
Sad,(-2.0/ 1.0/ 0.1), (-2.1/ 1.3/ -0.4), (-2.3/ 0.1/ 0.1), (-2.4/ 0.1/ 0.1), (-2.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.8187
Sad,(-1.9/ 1.0/ 0.0), (-1.9/ 1.4/ -0.3), (-2.3/ 0.1/ 0.1), (-2.3/ 0.1/ 0.0), (-2.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.9954
Sad,(-2.0/ 1.0/ -0.3), (-2.4/ 1.2/ -0.7), (-2.2/ 0.2/ 0.0), (-2.3/ 0.1/ 0.0), (-2.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.8337
Sad,(-2.0/ 1.0/ -0.5), (-2.6/ 1.2/ -0.7), (-2.1/ 0.1/ -0.3), (-2.3/ 0.1/ 0.0), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.5803
Sad,(-2.1/ 1.1/ -0.8), (-2.6/ 1.1/ -0.5), (-2.1/ 0.1/ -0.3), (-2.2/ 0.1/ -0.3), (-2.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.1006
Sad,(-2.3/ 1.1/ -0.9), (-2.7/ 1.1/ -0.7), (-2.1/ 0.1/ -0.4), (-2.2/ 0.1/ -0.3), (-2.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,140.6185
Sad,(-2.3/ 1.1/ -1.1), (-2.8/ 1.1/ -0.8), (-2.4/ 0.1/ -0.8), (-2.2/ 0.1/ -0.3), (-2.4/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.1876
Sad,(-2.4/ 1.0/ -1.2), (-2.8/ 1.0/ -0.8), (-2.4/ 0.1/ -0.8), (-2.3/ 0.2/ -0.5), (-2.5/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.0043
Sad,(-2.3/ 1.0/ -1.2), (-2.9/ 1.0/ -1.0), (-2.4/ 0.1/ -0.8), (-2.4/ 0.1/ -0.7), (-2.5/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,154.0452
Sad,(-2.3/ 1.0/ -1.1), (-2.8/ 1.1/ -0.9), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.4218
Sad,(-2.4/ 1.0/ -1.2), (-2.8/ 1.1/ -0.9), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.7051
Sad,(-2.3/ 1.0/ -1.2), (-2.8/ 1.1/ -0.9), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.6838
Sad,(-2.2/ 1.0/ -1.2), (-2.8/ 1.1/ -1.0), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.1097
Sad,(-2.3/ 1.0/ -1.2), (-2.8/ 1.0/ -0.9), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.4/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.3337
Sad,(-2.3/ 1.0/ -1.2), (-2.8/ 1.1/ -0.9), (-2.5/ 0.1/ -0.8), (-2.4/ 0.2/ -0.5), (-2.5/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.6539
Sad,(-2.4/ 1.0/ -0.9), (-2.9/ 1.1/ -0.9), (-2.5/ 0.1/ -0.8), (-2.5/ 0.2/ -0.4), (-2.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.9843
Sad,(-2.5/ 1.0/ -0.9), (-3.1/ 1.0/ -0.6), (-2.5/ 0.1/ -0.7), (-2.5/ 0.1/ -0.4), (-2.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,162.8152
Sad,(-2.4/ 1.0/ -0.8), (-2.9/ 1.1/ -0.7), (-2.4/ 0.1/ -0.5), (-2.5/ 0.1/ -0.4), (-2.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,156.3294
Sad,(-2.3/ 1.1/ -0.9), (-2.8/ 1.1/ -0.6), (-2.4/ 0.1/ -0.4), (-2.5/ 0.1/ -0.4), (-2.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.4353
Sad,(-2.4/ 1.0/ -1.1), (-2.9/ 1.0/ -0.8), (-2.4/ 0.1/ -0.5), (-2.5/ 0.1/ -0.6), (-2.6/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,157.7277
Sad,(-2.3/ 1.0/ -0.8), (-2.8/ 1.1/ -0.5), (-2.4/ 0.1/ -0.4), (-2.4/ 0.2/ -0.2), (-2.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.9556
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 84,43 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 44,90419 %
No se ha detectado ninguna palabra
