Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.8/ 1.2/ -1.5), (-2.4/ 1.1/ -1.5), (-2.1/ 0.1/ -1.2), (-2.0/ 0.1/ -1.2), (-2.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.2921
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.3/ 1.3/ -0.5), (0.2/ 1.3/ -0.9), (-0.4/ 0.1/ -1.0), (-0.2/ 0.1/ -0.8), (-0.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.43642
Sad,(-0.3/ 1.3/ -0.5), (0.2/ 1.2/ -0.9), (-0.4/ 0.1/ -1.0), (-0.2/ 0.1/ -0.8), (-0.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.28875
Sad,(-0.2/ 1.3/ -0.6), (0.2/ 1.0/ -1.1), (-0.4/ 0.1/ -1.0), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.60463
Sad,(-0.2/ 1.4/ -0.5), (0.2/ 1.0/ -1.0), (-0.2/ 0.2/ -0.6), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.40522
Sad,(-0.2/ 1.4/ -0.2), (0.2/ 1.0/ -0.7), (-0.2/ 0.1/ -0.6), (-0.1/ 0.2/ -0.7), (-0.2/ 1.4/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.34801
Neutral,(-0.1/ 1.4/ 0.0), (0.3/ 1.0/ -0.4), (-0.2/ 0.1/ -0.5), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.51018
Neutral,(-0.1/ 1.4/ 0.2), (0.4/ 1.0/ -0.1), (-0.1/ 0.2/ 0.1), (0.0/ 0.1/ -0.1), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,16.64197
Neutral,(-0.2/ 1.2/ 0.6), (0.4/ 1.0/ 0.2), (-0.1/ 0.1/ 0.2), (0.0/ 0.1/ 0.0), (-0.1/ 1.4/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.46715
Neutral,(-0.2/ 1.2/ 0.7), (0.3/ 1.0/ 0.3), (-0.1/ 0.1/ 0.2), (-0.1/ 0.1/ 0.6), (-0.1/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.59686
Neutral,(-0.3/ 1.2/ 0.8), (0.3/ 1.0/ 0.5), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.85914
Neutral,(-0.3/ 1.1/ 0.8), (0.2/ 1.0/ 0.4), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.2625
Neutral,(-0.3/ 1.2/ 0.8), (0.2/ 1.0/ 0.4), (-0.3/ 0.1/ 0.4), (-0.2/ 0.1/ 0.6), (-0.2/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.77228
Neutral,(-0.3/ 1.2/ 0.8), (0.2/ 1.0/ 0.4), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.72451
Neutral,(-0.3/ 1.2/ 0.8), (0.2/ 1.0/ 0.4), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.59076
Neutral,(-0.3/ 1.2/ 0.8), (0.2/ 1.0/ 0.4), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.1587
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.0/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.67734
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.0/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.01111
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.0/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.40421
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.0/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.26551
Neutral,(-0.2/ 1.2/ 0.8), (0.1/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.15245
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.14264
Neutral,(-0.2/ 1.1/ 0.8), (0.1/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.64397
Neutral,(-0.1/ 1.1/ 0.7), (0.1/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.16613
Neutral,(-0.1/ 1.2/ 0.7), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.28688
Neutral,(-0.2/ 1.1/ 0.8), (0.2/ 1.1/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.27757
Neutral,(-0.2/ 1.1/ 0.7), (0.2/ 1.1/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.7381
