Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.12983
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.39411
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.11145
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.05129
Fearful,(0.0/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.87536
Fearful,(0.0/ 1.2/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.54143
Fearful,(0.0/ 1.2/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.46506
Fearful,(0.0/ 1.3/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.19209
Fearful,(-0.1/ 1.3/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.39954
Fearful,(-0.1/ 1.3/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.44458
Fearful,(-0.2/ 1.3/ -0.4), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.14866
Fearful,(0.0/ 1.3/ -0.6), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.98697
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27984
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.7632
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.37952
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.22588
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.14332
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.65545
Fearful,(-0.1/ 1.2/ -0.4), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.80651
Fearful,(-0.1/ 1.2/ -0.4), (-0.1/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.48013
Fearful,(0.0/ 1.2/ -0.6), (0.1/ 0.9/ -0.6), (0.1/ 0.1/ -0.5), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.59241
Sad,(0.1/ 1.2/ -0.6), (0.2/ 0.9/ -0.7), (0.1/ 0.1/ -0.5), (-0.1/ 0.1/ -0.4), (0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.45222
Sad,(0.1/ 1.2/ -0.6), (0.2/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.624
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.2966
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.47887
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.43561
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.32899
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.19247
Sad,(0.2/ 1.2/ -0.7), (0.3/ 0.9/ -0.7), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.85571
Sad,(0.2/ 1.2/ -0.6), (0.2/ 1.0/ -0.7), (0.1/ 0.1/ -0.4), (0.1/ 0.1/ -0.5), (0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.77332
Sad,(0.1/ 1.2/ -0.6), (0.1/ 0.9/ -0.6), (0.2/ 0.1/ -0.5), (0.1/ 0.1/ -0.5), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.29047
Sad,(0.1/ 1.2/ -0.6), (0.2/ 0.9/ -0.6), (0.3/ 0.1/ -0.7), (0.1/ 0.1/ -0.5), (0.2/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.7335
Sad,(0.3/ 1.2/ -0.8), (0.3/ 0.9/ -0.8), (0.3/ 0.1/ -0.7), (0.2/ 0.1/ -0.6), (0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.98544
Sad,(0.3/ 1.2/ -0.8), (0.3/ 0.9/ -0.8), (0.3/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.12998
Sad,(0.2/ 1.2/ -0.8), (0.3/ 0.9/ -0.8), (0.3/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.36497
Sad,(0.2/ 1.2/ -0.9), (0.3/ 0.9/ -0.9), (0.3/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.69005
Sad,(0.2/ 1.2/ -1.0), (0.2/ 0.9/ -1.0), (0.3/ 0.1/ -0.7), (0.1/ 0.1/ -1.0), (0.2/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.3189
Sad,(0.1/ 1.2/ -1.0), (0.2/ 0.9/ -1.0), (0.3/ 0.1/ -1.0), (0.1/ 0.1/ -1.0), (0.2/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.12344
Sad,(0.2/ 1.2/ -1.1), (0.2/ 0.9/ -1.0), (0.3/ 0.1/ -1.0), (0.2/ 0.1/ -0.8), (0.2/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.60558
Sad,(0.3/ 1.0/ -1.0), (0.2/ 0.9/ -0.9), (0.3/ 0.1/ -1.0), (0.2/ 0.1/ -0.8), (0.2/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.23988
Sad,(0.2/ 1.2/ -1.0), (0.3/ 0.9/ -0.9), (0.3/ 0.1/ -1.0), (0.2/ 0.1/ -0.8), (0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.41637
Sad,(0.3/ 1.2/ -0.9), (0.3/ 0.9/ -0.9), (0.5/ 0.1/ -0.7), (0.2/ 0.1/ -0.8), (0.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.66778
Sad,(0.3/ 1.2/ -0.8), (0.4/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.33565
Sad,(0.4/ 1.1/ -0.8), (0.4/ 0.9/ -0.7), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.86856
