Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.6/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.17956
Sad,(0.6/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.17261
Sad,(0.7/ 1.2/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.459
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.93857
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.85857
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.95982
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.14571
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.03349
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.33451
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.4383
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.08934
Sad,(0.7/ 1.2/ -1.5), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.9073
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.95192
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.83154
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.70862
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.92556
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.39305
Sad,(0.6/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.85354
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.61222
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 64,39 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 112,2966 %
Se ha reconocido: Despues
