Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.58511
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(0.4/ 1.2/ 0.2), (0.1/ 1.2/ 0.7), (0.5/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.65258
Disgusted,(0.4/ 1.2/ 0.2), (0.1/ 1.2/ 0.7), (0.5/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.89918
Disgusted,(0.4/ 1.2/ 0.2), (0.1/ 1.2/ 0.7), (0.5/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.1143
Disgusted,(0.4/ 1.2/ 0.2), (0.1/ 1.2/ 0.7), (0.5/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.36481
Disgusted,(0.4/ 1.2/ 0.2), (0.1/ 1.2/ 0.7), (0.5/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.70794
Disgusted,(0.4/ 1.1/ 0.2), (0.1/ 1.1/ 0.7), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.11059
Disgusted,(0.4/ 1.1/ 0.2), (0.1/ 1.1/ 0.7), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.51442
Disgusted,(0.4/ 1.1/ 0.2), (0.1/ 1.1/ 0.7), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.91245
